 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a	0.8689657	0.12065251	0.010091932	0.00019105186	2.3749039e-05	4.0812512e-05	4.6267523e-06	5.187076e-06	2.4468867e-05
n	0.072283894	0.89675075	0.0107506225	0.007229268	0.008555504	0.0007027556	0.00069368083	0.0004959006	0.0025375944
ì	0.0028617026	0.94861746	0.041677237	0.002547853	0.00042241666	3.4301574e-05	3.464913e-05	3.0496874e-05	0.003773962
c	0.004248982	0.97933656	0.012700512	0.0010757537	0.0016264223	0.00016442408	3.219699e-05	2.540679e-05	0.0007897638
h	0.08858142	0.35716626	0.17716593	0.050673988	0.04068994	0.007664774	0.008378128	0.011046934	0.2586327
e	0.06357197	0.5807895	0.32613215	0.014486898	0.00313762	0.006200774	0.0010681136	0.0016129595	0.0029998925
t	0.0014680518	0.027239125	0.9648654	0.0059173717	0.00033414518	6.0995175e-05	6.948076e-06	3.852566e-06	0.000104234125
o	0.0016694351	0.09599124	0.7414078	0.11184434	0.018192308	0.00913344	0.0024928537	0.0022575094	0.01701117
r	0.0019775364	0.010402198	0.88109845	0.102407224	0.0039509996	0.00010625126	9.019152e-06	1.8093953e-06	4.6549707e-05
ì	0.0029478003	0.038505457	0.8288021	0.10563528	0.01339777	0.0019132538	0.00051641255	0.0004487637	0.007833086
s	0.026299147	0.0070134173	0.5920707	0.3312425	0.042058937	0.00043800048	0.00010147335	3.2715587e-05	0.0007430962
o	0.00687189	0.0147534115	0.70288736	0.21839342	0.016502101	0.0068343	0.00536503	0.004874533	0.023517983
n	0.0007659958	0.00052733405	0.03514585	0.89372647	0.068273604	0.0013969371	8.509117e-05	2.705538e-06	7.607487e-05
t	0.007427734	0.019640848	0.29754335	0.5510243	0.07799514	0.025655124	0.0037171906	0.0029696275	0.014026571
a	0.044970788	0.007557195	0.035376262	0.73378396	0.09641667	0.020851802	0.032392226	0.02299486	0.0056562624
e	0.0030132872	0.00027415852	0.011610695	0.65792775	0.32135433	0.0047331485	0.00041186277	4.8767997e-05	0.00062604784
m	0.0012604503	0.004560301	0.021295562	0.35521558	0.59894603	0.017756274	0.0003231415	7.687326e-05	0.0005658338
a	0.005430519	0.013594689	0.043440815	0.35145393	0.5276633	0.028014539	0.0029541007	0.0036746096	0.023773588
n	0.0025630787	0.0026068138	0.0058818446	0.06294968	0.8770244	0.045845415	0.0019281183	8.147633e-05	0.0011191705
t	0.009699046	0.011048711	0.044390332	0.07550971	0.7254046	0.077619426	0.012854223	0.009134972	0.034339063
e	0.08736383	0.0042966586	0.018317346	0.04707333	0.4019616	0.13218047	0.053317115	0.10076428	0.15472537
ì	0.0066938708	0.0011543663	0.004458599	0.031024046	0.69735545	0.22172809	0.030756148	0.000607273	0.0062221363
t	0.0010747043	0.002164628	0.003955289	0.016996186	0.22456297	0.6762699	0.06269502	0.004379346	0.007901926
s	0.004516563	0.011511332	0.02346316	0.020917203	0.2106686	0.55172783	0.071517155	0.08057063	0.025107516
e	0.043394815	0.0034366874	0.007915028	0.010379114	0.04966283	0.15112711	0.06376937	0.21418351	0.45613158
r	0.0055467514	0.0013763534	0.0068920064	0.030110769	0.15616667	0.35107458	0.3495318	0.011023697	0.08827743
e	0.0125076845	0.020318517	0.028144278	0.0114985565	0.0610193	0.58062583	0.060096145	0.09929567	0.12649402
k	0.020508936	0.0019132817	0.007915149	0.021284956	0.07033283	0.09508375	0.714992	0.02623074	0.041738436
a	0.024770614	0.026268248	0.04543781	0.016719788	0.027592994	0.3034791	0.13761845	0.2575198	0.16059318
v	0.030363573	0.0065266946	0.015577024	0.032433137	0.050921477	0.06655419	0.66614294	0.040362343	0.09111865
r	0.0036443942	0.007835854	0.018833788	0.014548009	0.012335266	0.09925249	0.07125657	0.54956865	0.22272491
è	0.035394963	0.029187648	0.021263413	0.014993132	0.0132564455	0.055127177	0.038405992	0.1959839	0.5963873
c	0.008679756	0.0012825528	0.004223389	0.007928705	0.0094978195	0.017890938	0.37911743	0.39380604	0.1775734
h	0.08085493	0.14345896	0.07789232	0.07014933	0.024888866	0.053540684	0.061787397	0.22473468	0.26269287
i	0.046585985	0.0002377875	0.002478474	0.0022153256	0.0028727984	0.023747977	0.21563925	0.610477	0.09574543
</S>	0.0014984817	0.0007968158	0.0021250134	0.006771061	0.008106589	0.01937393	0.048537455	0.06843396	0.8443567
