 	non	ha	che	li	aspettiamo	</S>
e	0.981369	0.016014421	0.002312664	0.00021319352	3.4927023e-06	8.722335e-05
n	0.8650306	0.086503305	0.01317109	0.0018346721	0.0054560066	0.028004434
è	0.26089522	0.38065034	0.03245971	0.0021062023	0.031799022	0.29208946
n	0.103006855	0.77344126	0.08420764	0.0057062157	0.0039023163	0.02973568
a	0.013544803	0.030324947	0.072206676	0.012235584	0.6578579	0.21383004
t	0.016462248	0.1461073	0.5239584	0.28373802	0.011131853	0.018602174
u	0.0011249237	0.01095632	0.06380403	0.09423724	0.7370929	0.09278453
s	0.012677545	0.067650974	0.10148242	0.6794763	0.091385625	0.047327206
m	0.00038969313	0.0030205797	0.009682276	0.055195022	0.856344	0.07536844
ì	0.01662821	0.0025186362	0.04998077	0.72945184	0.115010984	0.08640957
n	0.010305229	0.018560603	0.04434636	0.369755	0.20457469	0.35245812
o	0.0015354654	0.011062507	0.058706403	0.6056209	0.20330033	0.119774364
m	0.06907123	0.06760407	0.110430256	0.114397384	0.1965895	0.4419075
e	0.00046839184	0.0056493264	0.022408102	0.08161206	0.39608464	0.49377748
</S>	0.023592265	0.032509502	0.01793277	0.014166799	0.10877876	0.80301994
