 	non	mi	aspetti	non	vengo	</S>
m	0.9732064	0.025582049	0.0011158871	5.7077454e-05	5.221229e-07	3.8033715e-05
ì	0.17158729	0.05493896	0.69691277	0.005361452	0.029184632	0.04201483
m	0.6549772	0.29006246	0.014911007	0.0026498495	0.004382714	0.033016715
e	0.3066931	0.24165095	0.42300344	0.0053732246	0.007493529	0.01578581
m	0.029480837	0.85556287	0.112250686	0.002444356	3.9707873e-05	0.00022157984
ì	0.0063088583	0.10725223	0.85326624	0.013119442	0.0057947114	0.014258462
n	0.09288332	0.78161055	0.09412494	0.02949763	0.00058328296	0.00130028
i	0.0076204487	0.1167513	0.8102887	0.037693158	0.013650047	0.013996307
e	0.16758679	0.49703172	0.04400175	0.2693717	0.0067404853	0.015267484
n	0.009105826	0.038329393	0.09025344	0.3359843	0.36504468	0.16128238
è	0.0051198425	0.014675297	0.029955452	0.1154705	0.75978965	0.07498926
r	0.0665528	0.11023183	0.0009743338	0.15507185	0.6440159	0.023153229
k	0.0006033361	0.0029820055	0.008473654	0.016932245	0.9224094	0.048599333
o	0.044172756	0.49147215	0.055239968	0.04827795	0.06641857	0.29441863
m	0.0006142693	0.0024728095	0.0005758767	0.003177777	0.27413633	0.719023
e	0.0017770876	0.016091952	0.123365685	0.0361868	0.2224858	0.6000927
</S>	0.002367157	0.005813637	0.00032260024	0.0013501386	0.046353295	0.9437931
