 	Maria	ora	sta	vicino	a	me	ma	sta	dormendo	</S>
e	0.9994715	0.00048806088	8.8489205e-06	2.9565315e-05	1.1033584e-06	2.1406943e-07	2.676833e-07	2.1749248e-08	1.8501101e-08	4.5612256e-07
M	0.9189073	0.07459116	0.002828756	0.0006084142	0.0008640603	0.00043214142	0.00045214198	0.00013673278	8.050372e-05	0.0010988669
a	0.9384493	0.05368637	0.0012687691	0.004914593	0.0005420585	0.00013126683	0.00021584691	2.6937812e-05	1.12064245e-05	0.0007536974
r	0.89360285	0.099623114	0.0006656147	0.005700383	0.00020447475	0.000110523826	7.378543e-05	5.779751e-06	6.0414607e-07	1.28890215e-05
ì	0.4297417	0.55003214	0.0041266866	0.013385259	0.0018033026	0.0003178101	0.00047581177	2.1567314e-05	2.339611e-06	9.340028e-05
a	0.34440666	0.40986532	0.15834191	0.076135114	0.005168071	0.0019240379	0.0023873353	7.996979e-05	1.184763e-05	0.0016797201
à	0.008001757	0.9862955	0.002871781	0.0022535883	0.00027942038	8.390721e-05	4.815308e-05	5.791762e-06	1.5833373e-06	0.00015855949
r	0.0074255173	0.92315745	0.01191672	0.05577082	0.0007546913	0.0004859736	0.00012874702	2.1441821e-05	9.842373e-06	0.00032879622
t	0.0053553777	0.85787976	0.08650218	0.024075324	0.007415188	0.006338622	0.0027898327	0.00046357786	0.00041324727	0.008766861
e	0.013148796	0.16300128	0.34176752	0.28939316	0.09562797	0.021025332	0.054697193	0.0030067025	0.00069948233	0.017632559
n	0.0038416653	0.12944736	0.7489256	0.114319496	0.0026261432	0.00029801225	0.0002324897	2.540719e-05	4.21174e-06	0.00027959558
a	0.031580485	0.1416393	0.428471	0.32389915	0.027815461	0.019711187	0.0107213715	0.0018197455	0.0004325332	0.0139097925
s	0.0042853765	0.020395178	0.5887689	0.36795616	0.014500823	0.0019933814	0.0010582745	7.529878e-05	2.2449525e-05	0.000944159
t	0.008432027	0.056377828	0.3412232	0.55198795	0.01942474	0.008917317	0.005400086	0.00071747723	0.0001110985	0.0074082525
e	0.004652695	0.0019211805	0.20777166	0.7148826	0.044392284	0.006757376	0.010333516	0.0010207858	0.0005350428	0.007732883
m	0.002837894	0.013411465	0.3435831	0.47797874	0.14807332	0.0075062085	0.0030341318	0.0003653849	5.278379e-05	0.003156906
b	0.006531834	0.029462224	0.08965077	0.778383	0.036767595	0.01633513	0.011344127	0.00269423	0.00062703004	0.02820398
r	0.009336232	0.0017121519	0.033457506	0.830396	0.0821608	0.009462753	0.0172749	0.0017408701	0.0013959679	0.013062827
ò	0.017061653	0.0039134184	0.033912737	0.7705427	0.1301776	0.0113266595	0.017342824	0.0015600015	0.0016821879	0.012480262
s	0.0018157498	0.002645334	0.08296469	0.22800314	0.61395514	0.052843705	0.011650848	0.0014974666	0.0001358651	0.0044881133
e	0.010445346	0.0229998	0.055093188	0.34423754	0.1232129	0.071738556	0.0416283	0.026746104	0.023990273	0.27990797
m	0.001948617	0.0047242623	0.016797472	0.036548402	0.4434222	0.42834535	0.047494855	0.015176228	0.00075483735	0.0047878497
è	0.0077738287	0.03513677	0.02352363	0.13713501	0.22502227	0.27047157	0.06683449	0.04770989	0.01042455	0.17596798
n	0.0006113664	0.00073435646	0.0032906441	0.008588855	0.10451629	0.72732615	0.0907758	0.061935373	0.000931823	0.0012893891
a	0.0060803187	0.019200934	0.014709952	0.025545541	0.08713352	0.3360926	0.080501296	0.16344345	0.059520278	0.20777215
m	0.0009583067	0.0021641348	0.009594274	0.008438373	0.06388106	0.32983357	0.37947756	0.17563061	0.015666107	0.0143560795
a	0.01004995	0.034336545	0.014193052	0.022384472	0.026691098	0.32225975	0.09590014	0.20069094	0.06276606	0.21072805
s	0.0014359731	0.00814018	0.007822812	0.0029556733	0.021259578	0.1853711	0.21815842	0.43533492	0.0911447	0.028376602
t	0.006868271	0.032792903	0.012755019	0.0076958262	0.0132901855	0.1226064	0.05158076	0.39691982	0.16170962	0.19378117
e	0.0024233095	0.0017775029	0.003142567	0.0011759046	0.003492302	0.04156039	0.07094799	0.21003762	0.18468174	0.4807607
p	0.0007007825	0.0040484527	0.0049706884	0.002611142	0.01056768	0.059963234	0.10721968	0.25807938	0.35333854	0.19850042
l	0.0032501505	0.01223187	0.0032769542	0.004367201	0.0027363778	0.017956542	0.010882571	0.24834585	0.32582584	0.37112662
ò	0.0063879625	0.012488698	0.007964929	0.006808708	0.0037162	0.028324107	0.040184714	0.18505843	0.24008253	0.46898368
n	0.00036509888	0.0011731855	0.0033250211	0.00061165914	0.003762579	0.014983693	0.02348593	0.14040571	0.65960425	0.15228285
n	0.0057381154	0.012426083	0.014021575	0.0019614052	0.002206421	0.0069573876	0.007354926	0.32892358	0.42099786	0.19941264
i	0.009223027	0.0027364446	0.008549441	0.0058423206	0.0043453076	0.014151253	0.050430905	0.13774866	0.3921668	0.3748059
</S>	0.00027867712	0.0012704447	0.001966315	0.0008237174	0.0024698917	0.00965821	0.014995281	0.032224476	0.37367022	0.56264275
