 	deve	essere	bianco	</S>
è	0.9967938	0.0016457303	0.0006114356	0.0009489623
n	0.8529448	0.010362558	0.040991414	0.09570127
a	0.7129494	0.037071038	0.0058156275	0.24416398
è	0.26954666	0.724742	0.0008175576	0.004893856
n	0.35525498	0.44893688	0.14361739	0.052190747
e	0.096152715	0.48983595	0.1323131	0.28169823
à	0.16297874	0.6743184	0.091466516	0.07123637
s	0.021229513	0.045633476	0.8500828	0.08305423
p	0.01190477	0.054979052	0.6387083	0.29440784
r	0.02692249	0.008841703	0.9109525	0.053283304
o	0.017185217	0.004964583	0.96371144	0.0141388355
</S>	0.02151045	0.035171185	0.05807955	0.8852388
