 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.94325083	0.056517113	0.00014606483	1.0215574e-05	5.361805e-05	3.8006697e-06	1.8305744e-05
p	0.056359936	0.9141794	0.0032349161	0.012444321	0.0077512916	0.0007695016	0.0052606105
e	0.021087473	0.9698033	0.0010139986	0.00059960695	0.00016589169	0.00032833137	0.0070014265
r	0.012050744	0.97721964	0.010227929	0.0003478545	1.2271154e-05	1.9832726e-06	0.00013966022
i	0.011190011	0.94278014	0.02961391	0.0030299737	0.0003622793	0.0013634999	0.011660152
k	0.10281377	0.11676482	0.77250844	0.006653031	0.00015504034	1.8006265e-05	0.0010868093
u	0.015797418	0.6643291	0.27286914	0.02164944	0.0014978099	0.0016417889	0.022215227
l	0.025399078	0.013766951	0.9408116	0.018629393	0.00027983944	2.2406686e-05	0.0010907511
ò	0.0077066296	0.36494687	0.55539066	0.041639246	0.0035507525	0.0006794545	0.026086539
s	0.02323721	0.004293539	0.82285106	0.14808473	0.00045695092	8.5359534e-05	0.000991197
o	0.0074713803	0.10294082	0.7098234	0.06471138	0.0047224876	0.0025887229	0.10774179
n	0.0075613516	0.008556519	0.2126176	0.7537877	0.015376527	5.213264e-05	0.0020481271
a	0.0073916367	0.18194066	0.2990132	0.43662137	0.020629695	0.0021038726	0.052299634
n	0.0053475318	0.0008650164	0.033761155	0.92772377	0.030365268	9.442015e-05	0.0018427734
a	0.0064140875	0.031846836	0.0445506	0.8501521	0.031264894	0.0019851571	0.033786234
t	0.008904122	0.001034149	0.019091222	0.87403655	0.09098945	0.0002855401	0.0056589004
è	0.0027479182	0.008536673	0.035296354	0.7559047	0.13434145	0.0015651134	0.061607797
t	0.014511015	0.0029372605	0.014819901	0.48200712	0.46310693	0.00944892	0.013168855
s	0.004903833	0.004234231	0.015506915	0.39339536	0.3476453	0.023879644	0.21043468
i	0.060355753	0.0049029184	0.032421462	0.056599576	0.5354089	0.15145864	0.15885276
a	0.0040562707	0.0027918438	0.038556278	0.16428971	0.49468896	0.059225403	0.23639157
t	0.002023222	0.0045783594	0.015949246	0.118587025	0.74629486	0.021468164	0.09109915
s	0.00516628	0.006510921	0.023445833	0.11003675	0.47139484	0.11343294	0.27001244
è	0.040464703	0.0041402476	0.013176496	0.02492927	0.11135145	0.20258899	0.60334885
n	0.00581846	0.00055514835	0.004039095	0.025569748	0.05489793	0.5691698	0.3399498
ì	0.0170968	0.018757405	0.02127158	0.062408097	0.28343683	0.25374448	0.34328482
t	0.0075007193	0.0003873254	0.0022755098	0.01098908	0.037791092	0.68062997	0.26042625
t	0.0035690865	0.001997521	0.003113421	0.014141524	0.08127213	0.718395	0.17751127
a	0.0030251744	0.00017740438	0.0013694982	0.0028734768	0.010784478	0.96712756	0.014642439
</S>	0.0010838683	0.00037408664	0.0039687376	0.030730458	0.043879654	0.13084799	0.78911513
