 	che	vende	buon	pane	</S>
k	0.9964715	0.0033532544	0.00011387725	3.366767e-05	2.769081e-05
a	0.5622222	0.39342064	0.008776942	0.0013710737	0.03420917
i	0.1218803	0.87376153	0.0021835729	8.078106e-05	0.0020937223
p	0.022235822	0.9740545	0.0006118386	2.1506587e-05	0.0030764309
u	0.022742784	0.9666766	0.0066930074	0.00032829266	0.0035592953
l	0.029767895	0.8808218	0.067315325	0.0010913182	0.021003636
ì	0.10626271	0.45382577	0.19704919	0.023221899	0.21964046
t	0.11530726	0.2724739	0.5849077	0.0023982993	0.024912829
s	0.009976265	0.15771052	0.6813832	0.042521637	0.10840846
o	0.04186042	0.0026703137	0.953933	0.0011286233	0.00040769
m	0.004710596	0.063121855	0.87668365	0.028316973	0.027166823
ì	0.005737615	0.20072238	0.6483774	0.12517323	0.01998933
k	0.022426857	0.09193375	0.13198605	0.23665366	0.51699966
a	0.0049896473	0.08587788	0.10529998	0.7104398	0.09339268
l	0.016337506	0.10112135	0.06936348	0.41023964	0.40293804
ò	0.0048091263	0.046800643	0.029714797	0.71885717	0.19981827
</S>	0.031343173	0.021274336	0.009800245	0.10630535	0.8312769
