 	il	dito	si	gonfiò	</S>
o	0.9943277	0.0055139945	8.6168e-05	3.394978e-05	3.8151073e-05
d	0.8314581	0.10605807	0.009991618	0.004505652	0.047986574
à	0.1033718	0.8756025	0.0013372151	0.00019414104	0.019494291
t	0.3628664	0.6195412	0.0069988295	0.0006008084	0.0099928435
t	0.05977609	0.7830746	0.0971136	0.0032571368	0.056778505
i	0.13731672	0.8286105	0.019758085	0.0021807142	0.012133966
l	0.20835654	0.7232043	0.047293324	0.001746731	0.019399056
o	0.020201664	0.7039494	0.101506606	0.047894444	0.12644784
è	0.3258611	0.06194384	0.5081958	0.068201356	0.0357979
p	0.033437986	0.07906793	0.13766067	0.6947598	0.055073585
r	0.0053646853	0.014050369	0.13912553	0.5770873	0.26437214
i	0.03164591	0.10666534	0.052298255	0.73614985	0.07324066
m	0.11230308	0.023572374	0.09702014	0.3451576	0.4219468
m	0.0019175756	0.011688244	0.0060825	0.8916697	0.088642016
è	0.0634787	0.025567459	0.051132895	0.6275214	0.23229954
n	0.004967604	0.0050962195	0.0117234	0.14026798	0.83794475
o	0.0063624796	0.025040505	0.007893203	0.9302027	0.030501101
</S>	0.035281632	0.0047333743	0.021588631	0.049932573	0.8884638
