 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.5414182	0.45784244	0.0006439714	4.0923082e-06	9.795727e-06	8.148883e-05
s	0.09422657	0.8742223	0.0032072077	0.007707079	0.0058017457	0.014835021
o	0.022839015	0.9709382	0.0018139502	5.8518686e-05	0.00043519033	0.003915036
s	0.19283675	0.6945941	0.1121033	0.00024183765	6.2015088e-06	0.00021776986
e	0.028465366	0.9011222	0.057422794	0.001985873	0.0025148452	0.008488809
è	0.14223489	0.06730038	0.7838288	0.00543941	4.350984e-05	0.001152972
m	0.014469505	0.057209723	0.9035291	0.018366681	0.0007378476	0.0056872778
b	0.004161901	0.07377941	0.88952833	0.017491097	0.0019036372	0.013135566
i	0.13191192	0.47718117	0.25217617	0.047063548	0.07074199	0.020925112
à	0.021877714	0.06246599	0.10112256	0.79422474	0.0020407047	0.018268343
t	0.0012350754	0.0014787014	0.07213048	0.9195698	0.0021333261	0.003452648
t	0.008529006	0.0058390354	0.20597005	0.6697511	0.07899197	0.030918809
i	0.049431425	0.05035746	0.021008857	0.16954088	0.5426726	0.16698882
f	0.008715477	0.026594713	0.012042106	0.56424856	0.12923977	0.25915942
i	0.034808237	0.12822594	0.19027293	0.21031788	0.2271457	0.20922929
n	0.07046528	0.0037380706	0.0050780163	0.21204907	0.5216354	0.18703416
è	0.029393518	0.03626264	0.033950478	0.17587529	0.40765274	0.31686535
s	0.03790631	0.0013944759	0.00093354145	0.075161725	0.8282394	0.0563646
t	0.008291475	0.005987745	0.033329282	0.02646528	0.7016077	0.2243185
r	0.010872828	0.008267518	0.0014417864	0.004503221	0.9472801	0.027634438
a	0.02978356	0.036835354	0.028818462	0.009762315	0.842511	0.052289378
</S>	0.0036726038	0.0009012157	0.0005917025	0.03601202	0.3791822	0.5796402
