 	vuole	pianto	</S>
e	0.9960032	1.830265e-05	0.0039784713
t	0.97638613	0.00878327	0.014830618
è	0.8713829	0.027204435	0.101412654
l	0.9881044	0.0022775955	0.009617958
i	0.5097623	0.35235423	0.13788347
k	0.49401408	0.007095393	0.4988906
l	0.105174236	0.57485425	0.3199715
a	0.38063803	0.016451119	0.6029108
m	0.10215258	0.011581328	0.8862661
m	0.032989766	0.36297053	0.6040397
è	0.31742024	0.033830777	0.64874905
n	0.013033807	0.0013389261	0.9856273
o	0.27945748	0.5313037	0.18923877
</S>	0.009542058	0.0024314164	0.9880265
