 	che	consuma	poco	benzina	</S>
n	0.985204	0.012579542	0.002164697	1.3518503e-05	3.8194215e-05
a	0.38214034	0.0909104	0.22136642	0.09569683	0.20988606
k	0.42240405	0.5607788	0.0146217	8.099308e-05	0.002114377
o	0.12852624	0.76805925	0.026514968	0.009645488	0.0672541
n	0.19683672	0.7386864	0.06379359	0.0001266955	0.0005565818
s	0.059648484	0.8133369	0.024796138	0.010298263	0.091920175
u	0.18114437	0.7221902	0.0720831	0.020906603	0.0036757933
m	0.12254667	0.71741074	0.15420629	0.00014322055	0.0056930557
è	0.025753744	0.8438681	0.03277905	0.019316487	0.07828275
t	0.046033986	0.060963698	0.8919263	0.00031624592	0.0007597984
s	0.028444735	0.25672927	0.13095583	0.2380116	0.3458586
i	0.13694048	0.41964814	0.17856354	0.21927388	0.04557399
a	0.030331058	0.023240397	0.92232484	0.0062741293	0.017829519
l	0.010293742	0.010476411	0.9005786	0.0552603	0.023391051
ì	0.019570747	0.02421789	0.22573999	0.57976204	0.15070933
o	0.20960982	0.11956257	0.351369	0.28210038	0.03735831
b	0.0032610698	0.0025723497	0.07273	0.67067003	0.2507665
e	0.002778023	0.0023738032	0.11173993	0.7468909	0.13621742
n	0.048414316	0.015140385	0.19962737	0.18237624	0.5544417
z	0.018850999	0.020426925	0.032207675	0.79203755	0.1364769
ì	0.040538993	0.037199467	0.011029981	0.6852997	0.22593182
n	0.005655817	0.0026706026	0.011356411	0.56826884	0.4120483
a	0.016023232	0.014949679	0.09321527	0.57210374	0.30370814
</S>	0.020487765	0.008586096	0.060661513	0.060476124	0.8497885
