 	io	non	so	cosa	è	da	scrivere	</S>
e	0.99792826	0.0015764916	0.00040040427	6.662778e-05	1.1082286e-05	6.314469e-07	7.8791805e-07	1.5826541e-05
v	0.94618535	0.035674565	0.0046533803	0.0012434482	0.0026241976	0.0026481096	0.0013064113	0.005664492
ò	0.85027885	0.11428243	0.011504984	0.0009777436	0.00090377365	0.0007463407	0.00029132952	0.02101457
e	0.3926131	0.5350186	0.061584696	0.001678368	0.0024420796	0.0010088485	0.00021911976	0.0054351646
n	0.058154397	0.6907876	0.23231286	0.003322117	0.0043210927	0.0021449404	0.0028549063	0.0061020767
e	0.032041848	0.4067306	0.43128806	0.018653974	0.041737936	0.008703216	0.012187049	0.048657365
s	0.1403644	0.18953767	0.6389845	0.020165656	0.0047369325	0.0018719134	6.867991e-05	0.004270134
s	0.0072430507	0.08146743	0.7634189	0.03445144	0.053287428	0.010636989	0.019987749	0.029506966
è	0.013701547	0.0036059404	0.7324708	0.21892986	0.012850072	0.0022366575	0.0004404916	0.015764603
r	0.025365952	0.037261453	0.7149714	0.20265889	0.012984673	0.0017724787	0.00018387208	0.00480132
o	0.0042747245	0.018668318	0.7160985	0.13646102	0.049004186	0.011139296	0.0072524645	0.05710152
t	0.047891427	0.016800925	0.04978612	0.54965895	0.30551726	0.027132884	0.00033178844	0.0028806026
i	0.0055626645	0.021997565	0.1774946	0.39280328	0.103671834	0.06610444	0.074674055	0.1576916
e	0.016458731	0.010126884	0.0083369035	0.047845345	0.20178598	0.70991284	0.0005107118	0.0050226036
n	0.0057942676	0.006146002	0.0025968761	0.012338102	0.06876553	0.8971304	0.0043369234	0.002891882
a	0.0067862966	0.019398134	0.005804292	0.016638348	0.11855095	0.6800768	0.11227952	0.040465713
g	0.018355643	0.016398704	0.0027772062	0.00451241	0.034074955	0.90626526	0.0049493047	0.012666487
r	0.001732776	0.0072230683	0.0012091063	0.0044411235	0.046562776	0.3714304	0.43192247	0.13547821
à	0.010600104	0.0069152545	0.018421317	0.008912016	0.01951112	0.3609928	0.08048859	0.4941589
s	0.021704728	0.023999203	0.006605074	0.00787164	0.034376387	0.3805865	0.42358932	0.10126712
s	0.0017929433	0.010380689	0.0030175725	0.003299445	0.033518657	0.110826656	0.5918299	0.24533418
o	0.005176195	0.0021166115	0.036333792	0.02214131	0.013257379	0.008665511	0.55266035	0.35964885
</S>	0.0010385286	0.0014837335	0.0015853825	0.0023466977	0.007402604	0.048668295	0.1659288	0.771546
