 	non	aveva	dove	aveva	per	stare	</S>
e	0.99193865	0.0038330327	0.0041629896	4.09569e-05	8.9590327e-07	1.844913e-06	2.1693415e-05
n	0.6908999	0.292232	0.0032811796	0.00342675	0.0035191176	0.0011777712	0.0054632267
ì	0.042074554	0.8180269	0.07088708	0.013202951	0.00084288133	0.00030331823	0.05466246
c	0.008916558	0.9530617	0.029201508	0.002430825	0.00074072374	0.0006134254	0.0050351974
h	0.27050152	0.026147656	0.48133576	0.0018443558	0.0026484502	0.0026595716	0.21486261
e	0.04297778	0.09608539	0.84585935	0.009786146	0.0005842822	0.0013174458	0.0033896589
p	0.0013910132	0.0048417016	0.98076403	0.012065754	0.00035634544	6.610529e-05	0.0005151195
u	0.005862706	0.010854533	0.9479762	0.017530026	0.00421258	0.0037792344	0.0097848
ì	0.033835802	0.010031448	0.37643224	0.35471871	0.16799487	0.012561331	0.044425603
c	0.0068691443	0.007710713	0.026630402	0.37763748	0.5404931	0.007780354	0.032878857
h	0.01811761	0.028487867	0.044615887	0.16933087	0.06132845	0.06368528	0.614434
e	0.060002975	0.0062594865	0.08673452	0.24184328	0.16201416	0.20015201	0.24299356
n	0.0010454417	0.0014097275	0.0129221575	0.03318732	0.6213334	0.13293007	0.1971719
a	0.0021718538	0.031252425	0.043529883	0.031520557	0.15149915	0.5340799	0.2059462
s	0.014160737	0.0005103795	0.0021660202	0.0011449251	0.29565486	0.5970308	0.08933216
t	0.00026087905	0.01021699	0.0062993867	0.012130562	0.069217734	0.6976404	0.20423402
a	0.03270579	0.0006264031	0.0035083736	0.00067285425	0.10688838	0.19960488	0.6559933
t	0.00043197683	0.0014292132	0.001738689	0.0063391477	0.107040174	0.48415416	0.39886668
ì	0.00010480509	0.0031539674	0.0020931943	0.0023515571	0.01134645	0.74604833	0.23490167
</S>	0.001936498	0.0028593915	0.0020382022	0.004003863	0.03288211	0.46461532	0.4916647
