 	le	melanzane	vogliono	ee	girate	</S>
t	0.99979836	0.00019016293	7.466603e-06	2.144462e-07	5.640373e-08	3.6553906e-06
e	0.9227765	0.012991515	0.0066316277	0.004942381	0.002105804	0.05055212
s	0.98718154	0.012116039	0.0002218582	8.1024795e-05	4.9434657e-05	0.00035011975
m	0.5647595	0.28884348	0.010361598	0.003938607	0.00057838944	0.1315185
a	0.9798298	0.01718793	0.0008783618	0.001281931	9.790824e-05	0.0007240521
r	0.8220241	0.17682348	0.0005326502	0.0002198963	3.213568e-05	0.00036765626
a	0.07764275	0.67839473	0.038339157	0.02316085	0.002268955	0.1801936
n	0.33940783	0.65340173	0.0061785323	0.0005795629	9.877075e-05	0.00033364617
g	0.03999634	0.6061581	0.084209256	0.012547587	0.0013425412	0.25574625
i	0.95775837	0.020988876	0.006322085	0.007800099	0.0016628574	0.005467704
à	0.8021928	0.16372405	0.030823955	0.0016632761	0.00020439786	0.0013916111
n	0.083048575	0.7149976	0.17453991	0.009700195	0.0007344684	0.016979191
e	0.005088344	0.060168825	0.85063523	0.012792083	0.0043423804	0.066973105
t	0.18494824	0.050182696	0.6697669	0.08822519	0.0030150635	0.0038618601
è	0.0013279478	0.014140739	0.87896186	0.029149188	0.0070520896	0.06936804
l	0.021614248	0.008187571	0.44816077	0.5105336	0.0076593067	0.0038445615
u	0.0010857277	0.005331149	0.90690917	0.029012013	0.0052232905	0.052438617
n	0.03481446	0.012459258	0.07552495	0.8311069	0.03889078	0.0072037135
e	0.0025012987	0.007749808	0.31188673	0.44659907	0.074915804	0.15634722
e	0.01946954	0.01113566	0.007859544	0.82660604	0.127668	0.007261207
e	0.0012817051	0.0021762135	0.002903669	0.7055711	0.27640843	0.01165879
v	0.0034282985	0.004090965	0.0017731355	0.3980497	0.5769202	0.01573766
o	0.002568267	0.0030501438	0.002698312	0.21124084	0.7349547	0.045487665
t	0.006561086	0.007997533	0.0011629597	0.19147077	0.7293013	0.06350638
i	0.0022160043	0.0032361615	0.0064953435	0.074025735	0.863225	0.050801747
m	0.009035934	0.012968138	0.0019239163	0.14224395	0.44734362	0.3864844
m	0.006089204	0.005131733	0.0051041883	0.057051785	0.8375891	0.08903399
è	0.020766612	0.009173868	0.011676425	0.02948512	0.31788647	0.61101145
n	0.0013380958	0.0008356864	0.00030853416	0.013823712	0.06567366	0.9180203
e	0.02753791	0.015465645	0.012035328	0.04237482	0.65717524	0.24541111
</S>	0.001955167	0.0012009968	0.0006682227	0.009516614	0.01862829	0.96803075
