 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.99529284	0.0022189927	0.0014182888	0.00100334	7.184638e-06	9.350066e-06	4.9928713e-05
c	0.9019806	0.010379614	0.015861169	0.0075589237	0.007981599	0.001670911	0.05456707
h	0.38834384	0.1721612	0.33804843	0.07626108	0.003825879	0.0020498296	0.019309882
a	0.6149154	0.063749425	0.08140956	0.20075975	0.0042970977	0.0016188737	0.033249855
n	0.020458205	0.97179025	0.006321449	0.00029086898	0.0001284984	2.9460109e-05	0.0009812907
a	0.0230301	0.9400614	0.02562105	0.006552839	0.00060081756	0.00045385733	0.003679945
a	0.01123386	0.87376165	0.109149136	0.005238029	0.00025932855	0.00025149036	0.000106575506
g	0.0107893	0.871361	0.11395017	0.0020708283	0.00012360147	6.866146e-05	0.0016364856
o	0.03305852	0.36771822	0.5599213	0.027293421	0.00076526107	0.00042156407	0.0108216265
r	0.012046587	0.14832577	0.7620255	0.06981307	0.0014621626	0.0006395036	0.0056873118
à	0.024786877	0.09084549	0.3449693	0.41249046	0.00961726	0.0022942123	0.114996456
s	0.0039966186	0.0063439105	0.8137008	0.14440449	0.030796876	0.0003327636	0.0004246156
o	0.013958112	0.011711446	0.25190976	0.66698444	0.011153749	0.0030723137	0.041210216
o	0.0020756202	0.02003722	0.2510877	0.5601543	0.1605218	0.0039801504	0.002143143
s	0.009387029	0.018398702	0.11462773	0.64246786	0.19768514	0.006875532	0.010557931
s	0.010338723	0.010419433	0.04032983	0.492915	0.40107238	0.007088275	0.03783636
o	0.019005658	0.0032648565	0.016227884	0.744295	0.078301616	0.008805547	0.1300994
m	0.0034759957	0.017176284	0.07851972	0.072579615	0.7182511	0.063311644	0.046685573
ì	0.016803274	0.0030648496	0.023014989	0.5245633	0.2904258	0.018886035	0.12324171
k	0.0027701748	0.002681639	0.021803807	0.021155681	0.76453	0.16099407	0.026064701
a	0.035241935	0.0030852277	0.014626564	0.21978118	0.44567937	0.12746236	0.1541233
m	0.0059918608	0.013611329	0.086169526	0.02268993	0.2911388	0.38364226	0.1967563
è	0.048137452	0.006895345	0.0114134	0.0570863	0.18005751	0.30288813	0.39352188
r	0.0038145604	0.0030079004	0.0037771768	0.0016918665	0.06581037	0.8237644	0.09813368
i	0.018192811	0.0028050623	0.009086942	0.03275568	0.0999323	0.7227717	0.11445543
</S>	0.0012853286	0.0025472576	0.008930254	0.0046486664	0.02777531	0.03486164	0.9199516
