 	quando	Giovanni	è	arrivato	è	arrivato	alla	casa	o	a	casa	ancora	e	cucina	</S>
s	0.9920081	0.0065545	5.3279346e-05	0.0011806925	1.1796862e-05	0.00016213564	4.0102136e-06	5.303376e-06	1.619455e-05	6.306602e-07	1.1201809e-06	2.1276391e-07	8.160365e-08	6.521627e-08	1.9477013e-06
à	0.017369144	0.94993705	0.0033755924	0.0068103736	0.0027045677	0.005517247	0.0024788007	0.0029102354	0.0030194432	0.0010360492	0.0011824721	0.0005898757	0.00037608086	0.00019043082	0.0025026335
t	0.12624002	0.8022311	0.0101220915	0.014533823	0.011817768	0.015525188	0.006853939	0.005184836	0.0005748685	0.0016389699	0.0006382325	0.00019490004	0.0001995208	0.00016308675	0.0040816665
t	0.3118628	0.636441	0.010867261	0.0013314745	0.0035465627	0.0009142066	0.0004520173	0.00030259584	0.001153603	0.0004077425	0.00016440118	0.00073445117	0.00027554057	0.0008433326	0.030702956
e	0.88704586	0.03187842	0.0037548884	0.070056394	0.0015671054	0.0039025568	0.00014414165	7.592038e-05	0.0014700555	3.3218723e-05	2.8097536e-05	3.5466871e-06	3.3287238e-06	4.144347e-06	3.2361786e-05
o	0.143222	0.84306073	0.010799469	0.0018616207	0.00052220304	0.00022091044	2.1271804e-05	1.781463e-05	0.00024860355	3.358163e-06	3.5213056e-06	1.0699231e-06	2.849483e-07	4.2794088e-07	1.6736412e-05
G	0.009724965	0.9398187	0.04851033	0.0002702361	0.0012824443	6.472277e-05	3.5128167e-05	1.7805349e-05	4.5879253e-05	1.7454351e-05	4.1344206e-06	2.1524695e-05	5.512569e-06	7.3886154e-06	0.00017387523
i	0.005350664	0.9889671	0.0014734743	0.0023494507	0.00021639271	0.0009440791	0.000112792666	0.000114785435	0.0003442348	2.9834113e-05	2.7966322e-05	1.6456239e-05	3.697225e-06	2.2554561e-06	4.678295e-05
o	0.52785516	0.39793333	0.012039689	0.05250121	0.0007397437	0.0049591893	0.0001741456	0.00016044223	0.0035484072	2.6255822e-05	4.691551e-05	6.7131523e-06	1.3220595e-06	4.2768193e-06	3.139617e-06
v	0.017167222	0.86434454	0.1138746	0.0028806124	0.0010207128	0.00018924246	3.5774166e-05	2.4141784e-05	0.0003480464	1.39551075e-05	9.081342e-06	1.1215532e-05	3.257233e-06	8.449852e-06	6.9191025e-05
à	0.0067053037	0.7962578	0.16358347	0.020683987	0.0064656637	0.0019727417	0.00037785684	0.0002678627	0.0026343237	0.0001015017	8.539592e-05	5.4295295e-05	1.7970617e-05	2.2311386e-05	0.00076945586
n	0.040499248	0.013251372	0.876787	0.04276582	0.022021316	0.002231857	0.00078475435	0.0003233044	0.0004286843	0.00014995242	3.707129e-05	1.8758243e-05	1.3707447e-05	6.0001767e-05	0.0006270947
n	0.06379524	0.029592235	0.728635	0.019089762	0.09295547	0.0023477024	0.0009943092	0.00039613724	0.004752781	0.00078618876	0.00026763015	0.0016227226	0.0003453108	0.012732008	0.041687507
i	0.1702707	0.0022029139	0.044335842	0.7078312	0.011790533	0.05639487	0.0019288714	0.0008923175	0.0026638627	0.00059935136	0.00029951296	0.000104966224	4.5045974e-05	7.217725e-05	0.000567802
è	0.012135361	0.009726763	0.58541554	0.36252862	0.023573365	0.005802264	0.00039102617	0.00011619417	0.00020895312	3.3077617e-05	1.8230856e-05	3.5639537e-06	8.6925786e-07	3.9730535e-06	4.2139523e-05
s	0.0007991491	0.0027703415	0.1505703	0.7195231	0.10998103	0.011188533	0.001822322	0.0008494162	0.0009814855	0.00037105096	0.00013996728	9.040812e-05	2.3073344e-05	0.0002489089	0.00064097793
t	0.011153334	0.010616715	0.2602237	0.37445524	0.29998732	0.009412255	0.003146287	0.00088961184	0.0039864387	0.0011971036	0.0002970945	0.0020460174	0.00034417812	0.010145362	0.012099286
a	0.02099142	0.00028537697	0.007852625	0.89302784	0.008752633	0.05564085	0.0026936398	0.0010365924	0.0043598553	0.001160396	0.00062823034	0.00015653601	0.00013020991	0.00018963759	0.0030941726
s	0.0007949812	0.0030692138	0.0385898	0.32901368	0.4317056	0.17534514	0.017763374	0.0023305565	0.0008244629	0.00023803435	0.00010948415	4.355419e-05	5.6343238e-06	1.05989e-05	0.0001558795
e	0.006929884	0.05792375	0.035746977	0.4990205	0.11014447	0.10868811	0.02057317	0.011403258	0.070764445	0.0070449277	0.006593487	0.0063365423	0.0019794274	0.00847604	0.048375048
è	0.0028365334	0.0017536546	0.016912721	0.071130626	0.5962002	0.23380892	0.06897341	0.005589654	0.0020089478	0.0003877538	0.00011421237	4.093839e-05	9.751123e-06	0.00012440367	0.00010830274
s	0.0021224476	0.0044468623	0.0067293122	0.122131385	0.21729688	0.39271918	0.17236596	0.026149424	0.043142766	0.0029370643	0.0021349508	0.00084765226	0.0003108927	0.0039317487	0.0027334916
t	0.004579157	0.0074425475	0.009691312	0.0601303	0.360096	0.37205783	0.109784335	0.011560088	0.027679529	0.0035948455	0.0010357747	0.0054613906	0.00056434463	0.017370736	0.0089518
