 	sto	ancora	cucinando	</S>
s	0.99770063	0.002112787	1.3307367e-05	0.00017328204
t	0.6634225	0.0919361	0.14230505	0.102336265
e	0.99284124	0.0017771038	0.0050843596	0.00029731638
a	0.2530817	0.7210005	0.0045326394	0.021385133
n	0.006420138	0.9758144	0.009726433	0.008039109
k	0.007566142	0.88718814	0.039125837	0.06611982
ò	0.2177591	0.13590354	0.614038	0.032299396
r	0.5216292	0.40650487	0.044602055	0.027263884
a	0.014841771	0.9151572	0.05457679	0.015424334
m	0.10510195	0.14716193	0.65304244	0.09469369
a	0.0063818875	0.58392256	0.31316108	0.09653448
r	0.02605999	0.088929884	0.7166566	0.16835354
è	0.0019493842	0.1768369	0.6634651	0.15774857
o	0.010194551	0.0124844145	0.93144745	0.045873556
n	0.0011411067	0.01757356	0.6569278	0.32435757
t	0.00034260476	0.0087369215	0.96863294	0.022287555
a	0.047011953	0.17277654	0.63131624	0.14889525
</S>	0.0007772701	0.0050186394	0.2301711	0.764033
