 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.99839824	0.0014992999	7.944908e-05	1.3614734e-05	6.468663e-07	2.3936954e-07	8.522613e-06
ì	0.77614665	0.1299238	0.00277107	0.0057986905	0.0043010996	0.0034863336	0.077572376
s	0.6620431	0.18338175	0.0022906144	0.01469676	0.0046398058	0.002917165	0.13003075
i	0.73959243	0.23592928	0.007566408	0.0035137988	0.0010884462	0.00025448194	0.012055226
f	0.35842764	0.63755476	0.002966844	0.0009392586	5.0821618e-05	8.312415e-06	5.2341195e-05
a	0.10879487	0.81037796	0.029834194	0.02004825	0.005818792	0.0012838008	0.02384208
m	0.29743886	0.30412138	0.3783596	0.017581927	0.0016434422	0.00049464306	0.00036028252
ì	0.0073527303	0.9509988	0.009976708	0.009728586	0.0018522374	0.00060957606	0.019481467
g	0.16281691	0.48442084	0.3220077	0.027991656	0.0016592711	0.00019288297	0.00091066427
l	0.004823893	0.8794523	0.056054275	0.02565477	0.010833253	0.0036299692	0.019551605
i	0.6139297	0.21614935	0.06852294	0.034359265	0.019006247	0.003166517	0.04486603
a	0.09888753	0.014641548	0.63482094	0.20564394	0.036471006	0.004319681	0.0052153766
e	0.005994528	0.06757519	0.23700987	0.50281376	0.1633531	0.015627978	0.007625524
n	0.027108898	0.04337918	0.053147458	0.38082686	0.4623006	0.021539044	0.011697978
è	0.012258177	0.035100393	0.050198883	0.17729644	0.5866267	0.03624146	0.10227796
c	0.01831743	0.0033132045	0.019608244	0.093949005	0.8279802	0.030496122	0.0063357274
h	0.15204243	0.029684732	0.03133476	0.05702562	0.26476544	0.05678009	0.40836695
i	0.13007157	0.0048121065	0.0033351486	0.026372746	0.4746694	0.15215404	0.20858501
n	0.008581019	0.004347979	0.0037838633	0.043530177	0.35488155	0.17853995	0.40633547
a	0.022689767	0.033754177	0.00456139	0.004294467	0.10741914	0.11889524	0.7083858
f	0.027533008	0.00086795894	0.004990531	0.018928293	0.04622987	0.80835	0.093100294
à	0.009738169	0.010480082	0.0057614534	0.011143728	0.081380114	0.27452618	0.60697025
i	0.015774775	0.0009054705	0.008865643	0.011295499	0.027662236	0.8484797	0.08701666
</S>	0.0017012408	0.0015687863	0.0011455785	0.0032718026	0.015092764	0.30505222	0.6721676
