 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
i	0.99810445	0.0018134592	2.3947196e-05	2.8081955e-05	9.140477e-06	1.6624454e-06	1.648042e-05	1.9011505e-06	1.289994e-07	1.0578504e-07	3.955968e-08	1.11721036e-07	2.5537897e-08	3.792038e-07
p	0.9468465	0.011834841	0.004945296	0.011017749	0.012097323	0.00895647	0.0005880614	0.0002350157	0.0003827056	0.00092640944	0.00016624042	0.00019227172	0.00085909193	0.00095204916
à	0.98768437	0.009079756	0.00075361494	0.00056693633	0.00065557426	0.00027869103	0.00031022023	2.7718588e-05	2.2476244e-05	3.1597592e-05	9.8847995e-06	1.233068e-05	6.2188974e-06	0.0005605654
o	0.91249377	0.019568998	0.023298599	0.013390473	0.016489195	0.009274832	0.00086826755	0.000103866056	0.00017060718	0.0003616914	3.6248784e-05	5.015249e-05	3.893525e-05	0.0038544892
v	0.7355677	0.15140961	0.07544052	0.015443722	0.006451702	0.004929178	0.00069254753	0.000119361954	0.0004025651	0.0020215586	6.225689e-05	7.179624e-05	0.0004166094	0.006970889
r	0.42400217	0.16702734	0.20514368	0.024250526	0.010281342	0.005700658	0.005935375	0.00071194785	0.0022713484	0.0072271437	0.0002978902	0.000447714	0.0025286835	0.14417419
ì	0.48577577	0.06453835	0.2239111	0.06745217	0.04235564	0.0051587345	0.100525275	0.004873065	0.0019834908	0.0015352793	0.00010424125	0.00036756837	4.9416678e-05	0.0013698679
s	0.16373159	0.35637182	0.38034514	0.08431581	0.011219374	0.0031792636	0.0003400919	2.6441789e-05	4.6817837e-05	0.00021298254	9.91707e-06	1.0256941e-05	1.5354819e-05	0.00017513002
k	0.087063976	0.060352795	0.5915048	0.038485255	0.020019941	0.00571369	0.015202575	0.0010600132	0.004633797	0.022094933	0.00070802023	0.0008987159	0.012610422	0.139651
o	0.33009988	0.021516709	0.25018737	0.14952402	0.085066035	0.016190197	0.12458994	0.0094069755	0.0046016965	0.0036727483	0.00045370273	0.00092535414	0.00021819788	0.003547147
n	0.06934857	0.08737377	0.7363885	0.09966044	0.004688061	0.0008679776	0.0015016373	5.660481e-05	5.1796967e-05	2.286474e-05	4.2528127e-06	7.9880065e-06	2.1142605e-06	2.5432866e-05
t	0.026486123	0.014395093	0.6415978	0.06981732	0.04739118	0.019481514	0.05254518	0.0034775843	0.014100957	0.039428074	0.0037584105	0.0026614484	0.005338272	0.059520993
a	0.055845182	0.0146043375	0.4590299	0.22446454	0.10997201	0.02243571	0.090007156	0.009083048	0.005693596	0.0048512956	0.00054888066	0.0010736369	0.00022368917	0.0021670198
n	0.005129388	0.010974558	0.8551129	0.119102664	0.0073421053	0.0013271082	0.00076087774	6.047603e-05	8.809361e-05	3.911021e-05	5.6723698e-06	1.2893379e-05	3.9544993e-06	4.0134786e-05
a	0.007409289	0.0076924595	0.69382876	0.07847749	0.03922997	0.016643379	0.03465916	0.0020602164	0.009181553	0.030426849	0.001906432	0.0015140245	0.0042983666	0.072672136
f	0.00765888	0.0057991003	0.38647383	0.5520824	0.03987941	0.006383061	0.0011595994	6.686258e-05	0.00017681753	0.00016514199	1.6206071e-05	1.8601115e-05	3.6223642e-05	8.386446e-05
u	0.003985415	0.006693077	0.48021874	0.25946963	0.078507125	0.036635883	0.028734013	0.0022203214	0.008900516	0.033259306	0.0020128263	0.0013797983	0.0019863003	0.05599696
r	0.008641898	0.0062268525	0.21245651	0.43967256	0.2801758	0.044844076	0.0058939564	0.00029218438	0.00074099604	0.00056326296	4.1871142e-05	4.9259397e-05	9.3140916e-05	0.0003076394
