 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.9990445	0.0006267474	0.00018884025	6.896092e-05	2.961015e-05	2.4905728e-05	2.5695767e-06	5.116924e-06	1.3137815e-06	5.3759877e-06	2.166368e-07	1.2884092e-07	1.0754027e-06	6.39374e-08	4.1779806e-08	5.627369e-07
k	0.7257159	0.018901367	0.025124656	0.04193491	0.024846768	0.071756616	0.033965394	0.026661579	0.01915272	0.001353045	0.0024643154	0.004501753	0.0005192076	0.00073910604	0.0009498563	0.0014128468
è	0.7039212	0.13111754	0.04228686	0.0184023	0.021378074	0.024975551	0.009809535	0.0038805876	0.0017062972	0.0013032693	0.000992049	0.0009823632	0.00030999037	0.00023012001	0.0002393511	0.038464822
c	0.717302	0.15712212	0.035341132	0.019059002	0.01159362	0.03423871	0.012321371	0.008822316	0.001798777	0.00034628267	0.00039494148	0.00045161837	6.315496e-05	4.0703486e-05	3.7191527e-05	0.0010670739
c	0.32788935	0.115712084	0.1020731	0.08027571	0.035210084	0.07591211	0.028419683	0.02298384	0.003927985	0.011044047	0.0044969725	0.0027590676	0.0019602615	0.0006088057	0.00044448776	0.18628238
i	0.6057925	0.02569184	0.119627185	0.14468016	0.01788826	0.02789166	0.00795001	0.02007265	0.0064535253	0.016123272	0.0014446783	0.00060174894	0.0034241218	0.00040134753	0.00010440656	0.0018525294
a	0.9000869	0.07348162	0.019606482	0.0035620604	0.0009084366	0.0006303527	0.00023714239	0.0002972603	0.00010500845	0.00064435805	6.64666e-05	3.2885695e-05	0.00022594475	3.9422244e-05	1.3965733e-05	6.1631166e-05
a	0.06973082	0.74992794	0.09833632	0.01678549	0.008937073	0.030597504	0.008611158	0.004817223	0.0033647441	0.0008089607	0.00081306265	0.0008820532	0.00016149084	0.00013900631	8.0636106e-05	0.006006522
r	0.033471365	0.20196724	0.7031315	0.013919415	0.009722309	0.029304747	0.004868578	0.0019243967	0.0006476735	0.0001354918	0.0001840251	0.00022018998	1.540237e-05	1.6841808e-05	2.2979313e-05	0.00044785277
è	0.012416859	0.17581679	0.6115807	0.025552664	0.077887274	0.021915335	0.03380136	0.0018237341	0.0011212077	0.00093529635	0.0013226372	0.0022732492	0.00016788782	0.00021804198	0.0003103025	0.0328566
t	0.01840279	0.03428638	0.89562404	0.0062068687	0.020586064	0.015245526	0.0072609563	0.0014007443	0.0003222741	0.0001233906	0.00013972774	0.0001746312	1.1895186e-05	1.4560255e-05	9.189792e-06	0.00019090815
i	0.0051229186	0.06091393	0.78352857	0.046156973	0.031316314	0.022658726	0.018442033	0.002061868	0.0006903509	0.0021884597	0.0016596944	0.00216249	0.0002746162	0.00018260634	0.00038467353	0.02225581
e	0.0040927813	0.008918432	0.64791214	0.21948947	0.05142271	0.05473966	0.010342474	0.0022826274	0.00037621264	0.00020979023	0.000107864355	7.151994e-05	9.765306e-06	3.0934955e-06	2.5541876e-06	1.8762132e-05
s	0.0020650998	0.014473705	0.31290752	0.14166111	0.115211405	0.32048157	0.079529725	0.007545808	0.0031194494	0.0007430677	0.00075969147	0.0011249044	4.1377352e-05	3.9373615e-05	2.4482539e-05	0.0002717233
ò	0.0054877535	0.034279168	0.29779604	0.09369603	0.13640234	0.28541398	0.10572068	0.015403744	0.0023701466	0.0058199684	0.0031316816	0.0053146435	0.00039327203	0.00018353757	0.00023709287	0.008349861
z	0.041067775	0.030851796	0.24110761	0.08004591	0.12733997	0.32704654	0.09326953	0.02444617	0.0053826524	0.0058679036	0.007256163	0.0073331003	0.000486887	0.0007625515	0.0005149108	0.0072205155
u	0.0050633326	0.013830914	0.11133624	0.2826242	0.15806966	0.17349616	0.17062205	0.013191348	0.0047814865	0.0053730793	0.0084748175	0.014234486	0.00064976484	0.00083701534	0.0028434189	0.034571912
n	0.0009401048	0.0016052687	0.0069437115	0.06766737	0.061244596	0.59172565	0.21437873	0.04044127	0.010022267	0.0015356906	0.0019280235	0.0012193789	6.1578685e-05	4.7711277e-05	3.5949575e-05	0.0002027329
f	0.002899161	0.009738662	0.032313764	0.060501408	0.0950607	0.39281204	0.25935772	0.044516124	0.0077426694	0.02141709	0.011423935	0.016996356	0.002202079	0.0013462168	0.0016276677	0.040044323
à	0.04897003	0.03943575	0.08515389	0.23632158	0.025647413	0.09414914	0.07733501	0.095162235	0.012524546	0.20855048	0.019522086	0.008583734	0.023251258	0.004429596	0.0007310021	0.020232257
i	0.0012650202	0.00046496812	0.0018486339	0.01852194	0.06659558	0.20432015	0.54709524	0.12918721	0.019378625	0.0053641414	0.0033068296	0.001972475	0.00013169568	0.00013973391	9.468611e-05	0.00031302057
o	0.0003511028	0.00076278957	0.0009812292	0.004209051	0.005074727	0.2406034	0.36869076	0.26308465	0.05348876	0.03183821	0.01624453	0.010592154	0.0009717446	0.00090125087	0.0008996477	0.0013059839
