 	ha	che	sono	usciti	</S>
è	0.9565003	0.039347082	0.0033957446	2.023329e-05	0.0007367098
n	0.28107688	0.017652038	0.006362553	0.5218582	0.1730503
a	0.021564147	0.010425035	0.0031324835	0.6900411	0.27483723
g	0.00558347	0.031073522	0.05273828	0.8127024	0.0979023
u	0.007052262	0.0077338945	0.0066893813	0.12081457	0.85770994
ì	0.020485695	0.026401944	0.042415664	0.68387026	0.22682638
k	0.045273155	0.1414246	0.10874239	0.31075916	0.39380074
a	0.04759332	0.28564778	0.45054522	0.0023964175	0.21381731
n	0.001450618	0.0018163429	0.0038767625	0.111509934	0.88134634
e	0.1450872	0.38005397	0.4506066	0.0018232927	0.022428991
</S>	0.00039814002	0.00043734195	0.00058210717	0.008394607	0.9901878
