 	Valeria	legge	il	giornale	</S>
e	0.99979025	6.9695496e-05	7.002522e-05	2.1783778e-06	6.782062e-05
V	0.9958261	0.0028312858	0.00069829	6.4925014e-05	0.00057940924
a	0.99329054	0.0008312961	0.0007595749	2.3496814e-05	0.005095011
l	0.9534846	0.045344643	0.00092847977	0.00013144276	0.00011079057
è	0.8578489	0.07566887	0.01182272	0.0024993303	0.052160237
r	0.98509026	0.012785905	0.001502008	1.8621458e-05	0.00060319866
i	0.58257943	0.20883664	0.012982694	0.007100137	0.1885011
a	0.59650284	0.2863279	0.11658649	0.00013401436	0.00044869375
m	0.014364903	0.9580959	0.026313877	0.0006128396	0.0006124406
e	0.0290505	0.94120836	0.01777203	0.0011735111	0.010795587
l	0.055969194	0.6871738	0.25410572	0.0019339015	0.00081739074
e	0.011602999	0.93438786	0.03448672	0.0018456944	0.017676717
t	0.034949884	0.19135466	0.7670899	0.0043716673	0.0022339283
à	0.026229605	0.6862624	0.18811753	0.008201302	0.091189094
o	0.011605976	0.02947227	0.9363888	0.01889855	0.0036344922
g	0.010716644	0.31623632	0.46973887	0.16085733	0.042450827
i	0.006574363	0.24589714	0.4362854	0.21659161	0.09465151
o	0.026114728	0.18716462	0.54026026	0.14543404	0.1010264
r	0.0073479936	0.13288194	0.29356188	0.46916962	0.09703863
n	0.00465217	0.34606645	0.08526681	0.25991583	0.30409878
à	0.02653956	0.016638804	0.053304374	0.009908015	0.8936092
l	0.017301394	0.014923975	0.20465824	0.061074406	0.7020419
e	0.010488079	0.33203238	0.12700038	0.28515032	0.24532877
</S>	0.016435385	0.010856833	0.16578773	0.010534693	0.7963854
