 	tutto	il	cibo	vuole	girato	</S>
ò	0.99914336	0.0006000534	0.00022638186	8.201682e-07	5.110688e-07	2.8877535e-05
l	0.904449	0.008327039	0.033623233	0.006232038	0.010012969	0.03735563
o	0.8663058	0.013875368	0.010246023	0.0018887214	0.0134915905	0.094192505
o	0.440317	0.55218226	0.0072967163	3.4574685e-05	8.322754e-06	0.00016118049
m	0.10852443	0.79595023	0.085824184	0.001651045	0.00078195694	0.00726806
a	0.06827895	0.45833197	0.4358019	0.0023940569	0.0010175984	0.03417549
r	0.13177297	0.5441779	0.32065585	0.0022128113	3.6048557e-05	0.0011443672
ì	0.03106044	0.23729205	0.63285303	0.024865776	0.00955795	0.06437076
o	0.03725461	0.07491378	0.8229847	0.06188234	0.00025090578	0.0027137573
t	0.005130214	0.014711569	0.80718684	0.16815992	0.0019215529	0.0028898409
è	0.0028321184	0.016450115	0.7195068	0.24275701	0.0069579347	0.011496074
l	0.0033202728	0.0032420105	0.1460216	0.8432915	0.0016153747	0.0025091888
i	0.0016698928	0.009725353	0.32948834	0.5526744	0.078400925	0.0280411
v	0.031099442	0.096702784	0.20518751	0.2896112	0.113119885	0.26427907
o	0.00236117	0.0056922594	0.0564327	0.3663578	0.46309048	0.106065616
t	0.034088477	0.07249994	0.064638734	0.29846436	0.25866273	0.27164578
i	0.0016740331	0.008479174	0.011376783	0.071752846	0.86483747	0.041879617
m	0.027072407	0.045643426	0.030763425	0.088556305	0.21135724	0.5966072
m	0.0020876068	0.013975001	0.0074588726	0.024482628	0.8844488	0.06754708
è	0.0049937614	0.043439858	0.009180931	0.032725725	0.38654676	0.52311295
n	0.0011465639	0.001999211	0.0027441927	0.006851799	0.03550872	0.9517495
o	0.019232072	0.2068255	0.026614064	0.0236378	0.4906307	0.23305988
</S>	0.002083836	0.0034891877	0.0022113682	0.004612585	0.006496214	0.98110676
