 	ora	che	loro	non	vengono	più	</S>
à	0.9995604	0.00038885482	3.6359866e-05	6.872541e-06	3.1293969e-06	3.5899023e-07	4.001331e-06
r	0.9679595	0.0015861139	0.0025813077	0.004773584	0.0034005868	0.0013193688	0.018379621
t	0.4492033	0.03505978	0.028911198	0.026339667	0.004666291	0.0053588524	0.45046088
e	0.24645455	0.6874429	0.045536343	0.00842322	0.006616517	0.0003383864	0.005188109
k	0.061299298	0.8526476	0.08235894	0.0031131273	6.8781876e-05	1.5583779e-05	0.0004966005
a	0.029130744	0.44667375	0.2073664	0.18535912	0.024329871	0.004729031	0.102411024
c	0.0192455	0.25425804	0.7142965	0.011163288	0.00060387916	4.3703723e-05	0.0003891524
ì	0.12208509	0.14113222	0.098345764	0.05232457	0.008542662	0.009514209	0.56805545
n	0.014846839	0.0886624	0.8430401	0.04866049	0.0026918005	3.621246e-05	0.0020621475
i	0.060459647	0.19486922	0.59502023	0.064150795	0.057082426	0.0048844703	0.023533301
e	0.09795021	0.09308518	0.105633646	0.11222665	0.58721834	0.0019547315	0.0019312369
n	0.011606692	0.015715607	0.06951001	0.4883195	0.38473624	0.013208638	0.01690347
è	0.02147292	0.026120754	0.034905113	0.15611635	0.6858849	0.0065441225	0.06895586
r	0.02975447	0.030794805	0.04069425	0.1389512	0.7371367	0.010519179	0.012149273
k	0.0013633998	0.008439324	0.0122042345	0.024954103	0.8538984	0.05120552	0.04793498
o	0.006420665	0.017025176	0.011399801	0.004045799	0.76022565	0.07599422	0.12488869
t	0.0018095186	0.005113209	0.0058332677	0.023768906	0.13876629	0.6067123	0.21799648
t	0.004633475	0.009016448	0.013725712	0.008214369	0.6144264	0.1238753	0.22610836
e	0.0054356023	0.0087234285	0.002190747	0.0040010815	0.5331386	0.20803882	0.23847175
p	0.001117013	0.0032671688	0.002798031	0.009058543	0.015803857	0.54561174	0.42234367
l	0.006007028	0.0046086414	0.0041485764	0.0019408193	0.039541263	0.31738275	0.62637097
è	0.0033700434	0.015312119	0.008791242	0.0032255389	0.06959069	0.3235945	0.57611585
o	0.0006077096	0.0022230821	0.0012394692	0.0019327472	0.004791681	0.8302522	0.15895313
</S>	0.0027290178	0.002728155	0.0015675077	0.0021482927	0.0034572897	0.4900719	0.49729785
