 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.99937195	0.0004914951	0.00013007269	3.1278344e-06	2.84482e-06	1.2751143e-07	8.158956e-08	3.8403056e-07
m	0.7211262	0.18287876	0.07907885	0.007471511	0.0018151669	0.0013560347	0.00041504455	0.00585838
à	0.2721868	0.3699441	0.33999848	0.0017955181	0.00055643247	0.00021375007	2.8951437e-05	0.015275967
n	0.1446085	0.78139216	0.07278553	0.0005857351	5.8395275e-05	2.0067846e-05	5.6739723e-06	0.00054396264
a	0.16937321	0.47053745	0.15065888	0.00397532	0.00078350573	0.0026829585	0.000712441	0.20127621
m	0.054463483	0.8432256	0.10192152	0.00035073032	1.9298246e-05	3.8995927e-06	2.4910453e-06	1.2981572e-05
u	0.02317325	0.666812	0.26159742	0.011798436	0.0019314237	0.0012697325	0.00052644254	0.032891367
i	0.08810361	0.4090575	0.4942841	0.007957744	0.00032305252	0.000109462766	7.4060415e-05	9.051609e-05
p	0.0011661211	0.03292923	0.9609566	0.0046029785	0.00013598161	2.0078434e-05	6.6603097e-06	0.00018235888
u	0.0037207732	0.035023503	0.9458985	0.013260268	0.00066219695	7.0472546e-05	3.994471e-05	0.0013243913
l	0.010608866	0.05582627	0.83650285	0.08933181	0.002759501	0.00033575264	0.00015017169	0.0044847974
ì	0.008061274	0.07034163	0.666898	0.074599974	0.014337661	0.003565801	0.0006711363	0.16152452
z	0.016115293	0.016108578	0.19690628	0.7492078	0.015423952	0.0041757794	0.00022690688	0.0018353964
z	0.006658938	0.027715942	0.307141	0.4883154	0.028333716	0.017390803	0.0057294224	0.11871475
e	0.15765002	0.0146086775	0.015782787	0.6221126	0.11541492	0.03363007	0.0031664895	0.037634503
t	0.00422578	0.010845891	0.0108457	0.58641565	0.35800204	0.026726706	0.00065320486	0.0022850197
o	0.0039108526	0.015062095	0.25607353	0.32013315	0.16807653	0.023547724	0.0077785198	0.20541757
s	0.00535181	0.00913186	0.015311593	0.24525526	0.4738866	0.24174485	0.005731139	0.0035869526
p	0.0018765748	0.00824964	0.105967954	0.17470896	0.42438307	0.07972028	0.003818078	0.20127545
ì	0.028459525	0.007922027	0.0035694847	0.16743039	0.71188694	0.064802125	0.0034037628	0.012525841
t	0.0010843272	0.0010870426	0.0032840543	0.06291095	0.44457757	0.44950333	0.004947461	0.03260529
i	0.0056092786	0.012571284	0.037346844	0.070848	0.62211686	0.12349467	0.04191893	0.08609412
k	0.0043167835	0.0039444184	0.0064786747	0.040331203	0.06814181	0.7671308	0.08996753	0.019688876
à	0.0021803512	0.004426299	0.03157101	0.016341098	0.17192163	0.5321022	0.055694614	0.18576276
i	0.005467888	0.0025980368	0.0009803808	0.0065997825	0.03184127	0.7735423	0.16768174	0.011288684
m	0.00082834874	0.0019048514	0.0036029299	0.0068656052	0.04081841	0.2867496	0.33308423	0.32614595
è	0.0014561389	0.0048176823	0.009154172	0.012772924	0.08750768	0.3109662	0.38369623	0.18962902
r	0.0014717183	0.0012483655	0.0008429553	0.0013731183	0.002364235	0.06088587	0.8928259	0.03898792
i	0.0024407895	0.004933508	0.0028864946	0.0033438469	0.021920566	0.084928006	0.8183731	0.06117374
</S>	0.0006822607	0.00077678496	0.0004327857	0.0031011126	0.006206542	0.031085165	0.03899634	0.918719
