 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a	0.92126316	0.07245466	0.005686617	0.00027755633	0.00023684342	2.3660219e-05	1.5459116e-05	7.245279e-06	2.5193174e-06	6.05364e-06	2.6078116e-05
n	0.13131914	0.7631483	0.019933427	0.02404756	0.013592411	0.031374417	0.0069964807	0.0037234896	0.002359679	0.00028707297	0.003218014
e	0.003618613	0.9548626	0.02970667	0.0034655693	0.002911676	0.0019478729	0.00016181222	4.5177865e-05	3.6003516e-05	2.6145048e-05	0.0032179453
v	0.008298023	0.9493048	0.025644286	0.006658587	0.006526368	0.0020460337	0.00021271236	0.000170008	5.081422e-05	6.6110892e-06	0.0010818074
ò	0.004372733	0.8004498	0.1464658	0.016398573	0.022843545	0.0047321618	0.00039460335	0.000226535	0.00013663156	2.9687195e-05	0.0039499723
ì	0.005640809	0.4350302	0.5075794	0.043963104	0.0054001096	0.0019068802	0.00016214	6.44679e-05	1.01905025e-05	1.5690766e-06	0.0002410942
c	0.0008121763	0.08010689	0.84342796	0.06089192	0.012967567	0.0013959102	0.00014451667	6.6485234e-05	1.5330665e-05	2.7160468e-06	0.00016852422
h	0.026316646	0.18611789	0.5088559	0.066229954	0.058852796	0.017751886	0.0034855762	0.0009336064	0.0009466098	0.005906246	0.12460289
a	0.15813679	0.02763458	0.60767734	0.08127036	0.043043647	0.045098126	0.02146295	0.009231978	0.0033367905	0.0009375259	0.0021698389
d	0.003651781	0.011322743	0.90045065	0.079639025	0.003307839	0.0013503145	0.00012016241	7.170348e-05	1.9562918e-05	2.985533e-07	6.602007e-05
ò	0.007638974	0.060677376	0.7504752	0.085714035	0.048769917	0.017836105	0.015532525	0.005429743	0.002029146	0.0005982999	0.0052986722
n	0.010299678	0.0047397907	0.13246633	0.82693774	0.017133404	0.007450663	0.00061351276	0.00011324498	2.7130498e-05	1.9033146e-06	0.00021654644
t	0.016220426	0.035085373	0.3460686	0.44172394	0.07727054	0.033018615	0.011091846	0.0030482714	0.0009204864	0.0027847877	0.032767083
a	0.17266497	0.0049423384	0.15971427	0.36996767	0.054498777	0.08859623	0.099781826	0.013420379	0.014447178	0.005388152	0.016578188
s	0.0010446245	0.001913117	0.026706502	0.89901507	0.061395	0.00885175	0.0006624624	0.0001778375	7.315195e-05	4.733348e-07	0.00016003687
ì	0.012872497	0.049459174	0.13398516	0.49904263	0.2184568	0.031117374	0.01908795	0.009443735	0.002968044	0.0010318642	0.022534665
n	0.008589324	0.0044222865	0.013048434	0.6511353	0.29784778	0.01951813	0.003522553	0.0011659937	0.00024616957	8.169725e-06	0.0004957366
d	0.01599279	0.014104957	0.038722992	0.5748712	0.27328926	0.038898226	0.013432564	0.0031901123	0.001215149	0.002582402	0.02370029
e	0.28965798	0.003087676	0.0196863	0.31909302	0.11210905	0.05860307	0.11681229	0.01601617	0.017201731	0.007719529	0.040013153
k	0.00108106	0.0017055996	0.009369742	0.30671093	0.58508253	0.08631943	0.0063400087	0.0016228216	0.0006938246	1.3850848e-06	0.001072662
a	0.024284746	0.023452269	0.034627236	0.21753806	0.58503973	0.027278945	0.031767357	0.014872954	0.0083198575	0.0030480423	0.029770711
ì	0.012674739	0.002403595	0.0058944835	0.05859164	0.18391415	0.655849	0.0729964	0.0049347295	0.0018290026	3.2893535e-05	0.00087943877
c	0.005908644	0.012003973	0.014875849	0.074918374	0.56167567	0.15553811	0.05163625	0.084255	0.028768254	0.00052345434	0.0098964665
h	0.06451421	0.036845725	0.07766596	0.2516057	0.35497826	0.036277894	0.008702647	0.023422925	0.006102696	0.0035209286	0.13636307
a	0.5043186	0.001514158	0.0034480144	0.013610522	0.1119454	0.05023104	0.12851965	0.03024658	0.056175534	0.06162833	0.03836208
a	0.004384781	0.0019674278	0.0059232293	0.021288129	0.119552724	0.62907374	0.16041799	0.03715443	0.007839857	8.327055e-05	0.012314403
n	0.0013097342	0.013498981	0.024760632	0.021351635	0.13901375	0.15650827	0.18032847	0.42454922	0.03379942	0.0008776397	0.0040021967
o	0.01355054	0.066250026	0.108957745	0.040877182	0.16610888	0.09931185	0.20009841	0.22643456	0.027970243	0.013281773	0.037158802
ì	0.0039237263	0.0059898417	0.008213216	0.012162994	0.014487271	0.22633483	0.22491704	0.4125389	0.08670754	0.00025790467	0.0044667134
s	0.0015136553	0.003833249	0.004293031	0.0047330065	0.008569289	0.07140288	0.114448905	0.52685374	0.24608693	0.0034751939	0.0147902025
o	0.039015125	0.058655336	0.05288749	0.014293887	0.045524217	0.06125766	0.28663108	0.26449746	0.055199996	0.045074414	0.07696339
n	0.00038167008	0.0011132419	0.0019205713	0.002512661	0.0033640151	0.024721105	0.06905036	0.526755	0.3516298	0.0011348717	0.017416708
t	0.047404617	0.04995991	0.058265626	0.014381979	0.038210236	0.02775225	0.11908072	0.3926512	0.07460411	0.04728756	0.13040175
a	0.12244712	0.0016079735	0.009420616	0.0038098537	0.0018736392	0.0031194368	0.13154969	0.09144686	0.073139146	0.2258334	0.33575222
k	0.0011466085	0.0006390031	0.0015608901	0.0025911077	0.002048746	0.027626572	0.058532435	0.3284824	0.516594	0.006786395	0.053991865
a	0.06463219	0.06961679	0.054491878	0.009959015	0.028458701	0.011264435	0.044205442	0.3021467	0.087594	0.06630747	0.2613234
ì	0.00501963	0.0020455522	0.0037428315	0.004551929	0.0022936447	0.03122827	0.026762513	0.2138376	0.65013623	0.0062972093	0.054084554
c	0.0011971251	0.0019169158	0.002123877	0.002132267	0.0019037985	0.006933045	0.0080862725	0.1321577	0.7427666	0.05300541	0.04777692
h	0.0787367	0.02729642	0.05058384	0.054182127	0.015937766	0.07320752	0.03550884	0.21063519	0.16584584	0.110208705	0.17785707
e	0.09762227	0.000222404	0.0014942359	0.0004947647	0.00017016234	0.0006646428	0.011408963	0.029095206	0.1088237	0.5151896	0.23481408
n	0.0016235186	0.0011337338	0.0022940654	0.0025294356	0.0009707785	0.009771099	0.005644986	0.10123509	0.40306556	0.01843496	0.45329678
a	0.08027653	0.10282517	0.081373684	0.021441368	0.021070093	0.0066931373	0.0061620534	0.0839289	0.05266142	0.08002467	0.46354297
v	0.0072347014	0.004766509	0.0068345	0.007228357	0.0026450178	0.022746542	0.009300373	0.095314406	0.495163	0.036232825	0.31253374
r	0.0051074564	0.009273761	0.016977746	0.008320131	0.00618111	0.0056674234	0.0033303942	0.0698732	0.06357206	0.4006926	0.41100416
è	0.052898694	0.028111706	0.02981565	0.014591457	0.009036532	0.0040712454	0.005454257	0.05514881	0.061709985	0.16334303	0.5758186
t	0.0017161658	0.00078909495	0.0013590329	0.0014433563	0.00046086198	0.0046448503	0.002223028	0.016574215	0.11814264	0.60084474	0.25180194
