 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a	0.8955506	0.08960785	0.0039335233	0.009995106	0.0007265615	7.291662e-05	6.2861654e-05	1.5463494e-05	9.622539e-06	5.668312e-06	5.3188064e-06	1.1262849e-06	1.1386878e-06	1.2282791e-05
n	0.03966397	0.8872234	0.028821636	0.0007919203	0.0060957735	0.008713118	0.011526472	0.002590863	0.003293192	0.0033548472	0.0023657337	0.0003327002	0.0034994436	0.0017268509
è	0.012417984	0.8777549	0.029114911	0.0049559297	0.007962228	0.027498195	0.012716695	0.0014464756	0.0010372404	0.00090322	0.00070611015	7.302022e-05	0.0005361027	0.022877015
r	0.016282389	0.8166078	0.12088221	0.0023427806	0.0006802608	0.010718715	0.015243995	0.0051456774	0.00338582	0.0021896602	0.0013808605	0.0002635014	0.00018304223	0.00469341
t	0.0144244125	0.73139393	0.039016437	0.0015716486	0.009264879	0.06147485	0.018304273	0.0023980818	0.0018247769	0.002630749	0.003280984	0.00043864176	0.01204462	0.101931654
i	0.0062180543	0.085702345	0.59324604	0.29826942	0.013259996	0.0012201633	0.00076115143	0.00031476995	0.00062579865	0.00017469525	0.00013079353	1.5187494e-05	9.104779e-06	5.2482297e-05
s	0.0023830566	0.06718967	0.7848069	0.13820098	0.005483639	0.0010611917	0.00027943533	0.00015686596	0.00025381127	6.2705854e-05	4.79724e-05	3.85574e-06	3.953317e-06	6.588077e-05
e	0.004101986	0.049182564	0.85195744	0.041869238	0.013777328	0.0039643054	0.0051981756	0.007337285	0.005475363	0.0035729941	0.0068413923	0.0010157233	0.0011154524	0.0045907195
s	0.0041001537	0.04194513	0.64547735	0.23524822	0.03419199	0.03185585	0.004411853	0.0012518448	0.00067870435	0.00020443699	0.00031262173	2.496002e-05	8.3174215e-05	0.0002137583
e	0.0042586047	0.022447929	0.6699104	0.12724593	0.021790316	0.06970381	0.03315032	0.016294377	0.0064536133	0.0042685894	0.00944956	0.0006139386	0.000636656	0.013776035
