 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.9975431	0.0020467774	0.0001636681	0.00017233334	3.3503802e-05	3.0088577e-05	2.4045519e-06	5.4062034e-06	8.677455e-07	5.5130226e-07	3.645853e-07	2.3251181e-07	6.508963e-07
ò	0.17878115	0.052779794	0.15805472	0.29579926	0.093513675	0.11803612	0.01749912	0.055154685	0.0097391615	0.008707511	0.001551669	0.0008663783	0.009516766
t	0.30104217	0.0759497	0.16040812	0.23776634	0.1520947	0.037358508	0.013774725	0.0047367155	0.0025618384	0.0009209732	9.0151e-05	0.0008742635	0.012421741
t	0.7373451	0.06904612	0.033191226	0.020507764	0.006309957	0.0030714478	0.003198304	0.0009336261	0.0010221262	0.00035222046	0.00019259346	0.00079940405	0.124030165
e	0.97765756	0.006806014	0.004204656	0.004850841	0.003703451	0.0017909693	0.0005413659	0.00028760338	0.000117369025	8.942476e-06	6.1018804e-06	1.4577323e-06	2.3663148e-05
j	0.24383727	0.64309806	0.0894403	0.019823091	0.0030717219	0.00056022586	5.7012614e-05	8.5817206e-05	8.666379e-06	2.934174e-06	5.009374e-07	8.303279e-07	1.3502956e-05
è	0.28005138	0.45526844	0.15863939	0.058908083	0.01270329	0.004220889	0.006619443	0.0027556524	0.0024184186	0.000612883	0.00049144984	0.00038245565	0.01692823
n	0.07113585	0.6732274	0.23671347	0.017503921	0.001190974	0.000119075645	7.393307e-05	1.084456e-05	1.6670474e-05	8.5644444e-07	1.0461092e-06	3.7215398e-07	5.5106507e-06
o	0.19139932	0.30353224	0.34481347	0.03973505	0.008035284	0.002321481	0.00400924	0.0012927256	0.0014910024	0.00041229583	0.00035461257	0.0007259324	0.1018774
m	0.4955341	0.10155183	0.34300458	0.057061654	0.0023711054	0.000321551	8.1408085e-05	3.822378e-05	2.3335622e-05	1.117485e-06	1.9449365e-06	3.2629958e-07	8.869722e-06
e	0.013683587	0.11066696	0.74028707	0.10254855	0.013313074	0.005763591	0.002696899	0.002649308	0.00076491135	0.00020005865	6.832055e-05	7.1491726e-05	0.0072862473
v	0.10264138	0.0523938	0.55124587	0.2855776	0.007067159	0.00069333165	0.00017742749	0.00010225462	5.8443566e-05	4.232096e-06	4.7215144e-06	1.3343271e-06	3.2456945e-05
è	0.0012410895	0.010351685	0.847034	0.12017759	0.012489147	0.005314046	0.00071296975	0.0019865446	0.00017813826	5.7632777e-05	4.084097e-06	6.7760934e-06	0.00044635063
k	0.0029885431	0.004832242	0.81585515	0.16669138	0.008041714	0.0009866967	0.00030354783	0.00012309743	5.3190866e-05	7.2180283e-06	1.0465641e-06	5.1888605e-06	0.00011097596
k	0.017629229	0.011360481	0.8596779	0.0756095	0.008668531	0.0022902354	0.0037864137	0.0011284141	0.0007982185	0.00021497306	4.968098e-05	0.00035897503	0.018427366
i	0.42335773	0.012337767	0.24412046	0.159042	0.055903647	0.035753153	0.035942994	0.008038128	0.013545476	0.0017894928	0.0017405195	0.0014894931	0.006939084
o	0.0066777347	0.0052996133	0.05035828	0.8324214	0.09777246	0.0063672704	0.0006263574	0.0003235934	9.743275e-05	1.1140159e-05	1.6351651e-06	1.1761322e-06	4.1932686e-05
p	0.000493919	0.0024810608	0.031946033	0.80211705	0.14361238	0.014515655	0.002836433	0.001480771	0.00029299184	7.6766904e-05	2.9980365e-06	6.9330667e-06	0.00013706705
u	0.0011589421	0.0034623651	0.039106224	0.7469065	0.17200439	0.02746488	0.0031233865	0.005137517	0.0006266577	0.0002792543	7.71578e-06	2.055135e-05	0.00070163596
l	0.0028579885	0.006121851	0.0290113	0.42287365	0.48033708	0.046713013	0.005026701	0.004584221	0.00083594734	0.00034521788	9.686631e-06	3.6664536e-05	0.0012467137
ò	0.009777287	0.015228356	0.15989931	0.2874874	0.2807016	0.0976421	0.034524765	0.020162726	0.008940216	0.0047429986	0.0004059514	0.0024996768	0.077987656
t	0.0037604012	0.0023993084	0.0053982357	0.042938802	0.75323194	0.17162718	0.01442791	0.0040702187	0.0015363167	0.00012734722	1.1093442e-05	2.8920225e-05	0.00044234784
o	0.00826972	0.006281577	0.029420402	0.14832519	0.56008154	0.13930461	0.049879454	0.008242768	0.0072077173	0.0020326094	0.00019149699	0.0042023743	0.03656048
s	0.00087225094	0.0009248502	0.004122965	0.019023878	0.4605628	0.45057356	0.050104905	0.011203588	0.0018067125	0.0003224895	1.3609095e-05	4.344987e-05	0.00042499028
p	0.0056775995	0.004563378	0.025308136	0.10306284	0.38313603	0.31587344	0.06511402	0.021732045	0.009124476	0.002891599	0.0003813809	0.0018072528	0.061327726
ì	0.04684596	0.003162161	0.004229658	0.01557301	0.28213188	0.49217343	0.06236432	0.051015764	0.029141683	0.0035295638	0.0061650244	0.000241545	0.003425858
t	0.0016581925	0.000831898	0.0041814507	0.0122425435	0.33066142	0.48250726	0.1043951	0.052042644	0.0045439675	0.002220594	0.00018813845	0.00018255248	0.0043442617
i	0.018248731	0.020083362	0.06451992	0.03104026	0.12723799	0.35676304	0.09217041	0.046787933	0.022556258	0.008142559	0.0036878781	0.023226175	0.18553546
m	0.0023080222	0.0005084677	0.0019091659	0.00781139	0.055175442	0.19634658	0.50334567	0.1919124	0.03581358	0.003508832	0.00096381793	4.13363e-05	0.00035528687
u	0.003699313	0.002718136	0.011737421	0.042533744	0.06387501	0.41455105	0.12984233	0.20831324	0.01552701	0.01477174	0.0022849874	0.0035580492	0.086587965
c	0.0013890368	0.0007197842	0.0009261844	0.0047901827	0.025474202	0.0724367	0.5025055	0.2540369	0.11318818	0.020168422	0.0036822155	0.00021709425	0.00046568277
e	0.037291843	0.016451681	0.015600816	0.03061783	0.031686913	0.17897388	0.07289707	0.48910007	0.014871057	0.020871283	0.0016496606	0.0060104616	0.08397746
p	0.009712079	0.0018895916	0.0035473914	0.016977271	0.057930704	0.08005737	0.33066508	0.33752373	0.12930655	0.026143335	0.0054791616	0.00023937665	0.0005284116
à	0.0007752611	0.0014558398	0.0018482433	0.009928666	0.012107558	0.07036032	0.11606795	0.6211619	0.032872815	0.070157364	0.0058499607	0.0047162804	0.05269785
o	0.0029113735	0.0021732333	0.002203347	0.0024241419	0.0051607913	0.01855499	0.12136365	0.46150213	0.15480971	0.19189458	0.024814902	0.0023046592	0.009882441
s	7.656217e-05	0.0001857232	0.0003171977	0.0008851879	0.0008425162	0.0045472775	0.014855419	0.22361183	0.1565375	0.5254986	0.047586285	0.011129665	0.013926245
t	0.008094888	0.0048205336	0.004982519	0.008219072	0.009720965	0.02742315	0.088323325	0.43522966	0.11160622	0.16691673	0.022240203	0.021069758	0.091352895
i	0.03460252	0.00500566	0.0028787402	0.0016155872	0.0027293952	0.010306289	0.08096326	0.20834027	0.2673025	0.06916133	0.24183294	0.006775458	0.06848607
t	0.0003222427	0.00042408632	0.00024234362	0.0008846653	0.002536305	0.003135457	0.020937191	0.03877291	0.29246053	0.3950728	0.20768306	0.017935226	0.019593168
à	0.008322175	0.0068338052	0.0071798232	0.006791581	0.006494613	0.011738475	0.026029464	0.1898091	0.077423126	0.33300495	0.067460515	0.06524196	0.19367036
l	0.0008403182	0.0005129815	0.00044560872	0.00057136535	0.0011715117	0.0015643137	0.0055228136	0.026367629	0.15735711	0.4681616	0.2969418	0.026813807	0.013729217
