 	ha	che	sono	usciti	</S>
è	0.761364386	0.13690906777	0.015590071093	0.067992394518	0.0181440936899
n	0.574279446467	0.191886189857	0.020424134631	0.175273564664	0.0381366695682
a	0.345303057489	0.225424165619	0.0926356731103	0.291916218673	0.0447208889736
g	0.148741434416	0.348312394973	0.180444940123	0.235376073611	0.0871251461465
u	0.0717325825807	0.311288933958	0.265054351728	0.241410824524	0.1105132883
ì	0.0334010902396	0.138165933586	0.335670675309	0.373657337175	0.119104967349
k	0.0249925710539	0.083331806862	0.39821894117	0.369391944358	0.124064743626
a	0.027166453008	0.0585861453073	0.343774666157	0.363004066219	0.207468671155
n	0.040770129876	0.0563837185091	0.247987645552	0.40609058452	0.248767934518
e	0.05065671094	0.054073608237	0.198063316795	0.36438642082	0.332819957773
</S>	0.047229305142	0.0349868815395	0.126395346814	0.30498656511	0.486401909887
