 	non	ho	cosa	è	da	mangiare	</S>
e	0.69792935578	0.1421132049	0.062231912212	0.0033432183703	0.00206548329982	0.00482699221033	0.0874898483756
n	0.44712802098	0.279658246167	0.0728810240707	0.00891816208343	0.00437128175894	0.0787617086955	0.108281561349
è	0.208634209873	0.414364609989	0.191902948157	0.0143201157345	0.00568932615465	0.104184625183	0.0609041467246
c	0.097794241571	0.437824151396	0.265284696786	0.0136784798182	0.00608855716795	0.114086083145	0.0652437775404
h	0.0456176321439	0.349782080332	0.409587904929	0.0114051497861	0.00529925641305	0.114811890566	0.0634960997107
o	0.0188959779849	0.183587005411	0.631105035843	0.0809020305354	0.0155656114263	0.0476834404977	0.0222609096638
t	0.017423151613	0.080715370197	0.592398472814	0.144216820678	0.0472793716354	0.0999239931526	0.0180428263694
i	0.019259895559	0.0426251700857	0.368744218938	0.285060940059	0.138033566505	0.125821466778	0.0204547478346
è	0.0120466017863	0.0263099269152	0.140125869113	0.414730859353	0.280802224568	0.100114726299	0.0258697906995
n	0.00697253611843	0.0143198433564	0.0521661590777	0.338222486634	0.383801718829	0.165996931566	0.0385203317145
a	0.0106472839691	0.0172754804901	0.0226816330979	0.207472319395	0.420628565583	0.258526032322	0.0627686881782
f	0.0115332528094	0.019754368372	0.012065342354	0.0978733605917	0.387231438528	0.369210157441	0.102332062526
à	0.0118031892448	0.013801856994	0.00647654190067	0.0468089256106	0.296738516843	0.520088697814	0.104282252149
o	0.0266704532636	0.017982512264	0.00658641990789	0.0392080273755	0.182278641548	0.513996078605	0.21327785629
</S>	0.0369360886418	0.022747452519	0.00728964392545	0.0454194045157	0.119072059674	0.428852748302	0.339682593545
