 	io	non	so	cosa	è	da	scrivere	</S>
e	0.922432179	0.06059510722	0.0106461225162	0.0006734467488	0.000476673994	0.000370637073225	0.00281136789081	0.00199451938972
v	0.848939617	0.0669412300533	0.0727307258609	0.00310640296027	0.0008917385496	0.000505236710128	0.00310232326385	0.00378276081897
ò	0.622908203533	0.229405913184	0.129908388167	0.00767098919076	0.00397850529587	0.000527264953843	0.0019777573025	0.00362299764388
e	0.356445537178	0.385249389061	0.178156048442	0.0166921819236	0.00598512110396	0.00348189261821	0.0200838128209	0.0339060187201
n	0.222862356259	0.33661534122	0.287858086147	0.0561765931479	0.00853698315465	0.00585445644634	0.0313430272232	0.0507531565642
e	0.222983688013	0.217188814273	0.335227744849	0.130314797823	0.0269202382582	0.0184452191048	0.0231317171831	0.025787785479
s	0.173177189524	0.121357766258	0.390790806416	0.198753981408	0.0519903398527	0.0273118964476	0.0190470578633	0.0175709580493
s	0.079049896168	0.066393697946	0.381839017072	0.336085845136	0.0748187611842	0.0296413012425	0.0172297376124	0.0149417410524
è	0.032294763388	0.0466322881887	0.289443974441	0.490237914379	0.0870425282614	0.0346122964942	0.0123758532921	0.00736038912947
r	0.0145070958957	0.0329196262362	0.296902870097	0.53652449746	0.0770998765538	0.0267182877247	0.00630157301403	0.00902618846702
o	0.0121957343396	0.0315516606387	0.239406445812	0.49038814982	0.149305958651	0.0539873219082	0.0111687419207	0.0119960043195
t	0.0115428157922	0.0333119265262	0.140451912277	0.430650198607	0.22990207255	0.109427267103	0.0239636351296	0.0207501956398
i	0.00700809607307	0.0207328881087	0.088218225091	0.322440161002	0.25745308745	0.236020651034	0.0400262177432	0.0281006902133
e	0.00977876864502	0.0121837712616	0.034788279749	0.165433594894	0.254443434483	0.395433889011	0.0931690328611	0.0347692383778
n	0.00905183556567	0.0168783507973	0.0220481101807	0.076858624338	0.229112110361	0.44537943967	0.127086774914	0.0735847617926
a	0.00777808311322	0.0204792347072	0.0172432081732	0.0350458187053	0.183562566494	0.465263512557	0.182863912351	0.0877636645309
g	0.00751705201967	0.0205842779257	0.0136890765197	0.0175720309411	0.114248326471	0.460027208852	0.243810779897	0.12255123431
r	0.00442559347533	0.0186847679669	0.0134719333897	0.010996942091	0.084398452077	0.405187783617	0.228142335432	0.234692182003
à	0.00448049142962	0.0100935412613	0.00649891682797	0.00716548479053	0.055819997455	0.358255050672	0.302893149544	0.254793354301
s	0.00386602719321	0.00730627234283	0.00508232963206	0.00836753797971	0.0330603287543	0.317334493091	0.407468368248	0.217514619034
s	0.00788229987004	0.00712099779458	0.0107026788905	0.0260702145639	0.0250419472858	0.23517717603	0.461455161683	0.226549504078
o	0.00993620463105	0.011426860052	0.0125305963875	0.0327802283731	0.0339545000249	0.15500735023	0.382626720828	0.361737515826
</S>	0.00630122170412	0.0146337416689	0.00957461282175	0.0245856091182	0.0443556777954	0.138095629045	0.269671626414	0.492781861613
