 	Marika	tu	hai	mangiato	</S>
M	0.94262444	0.03025777616	0.0056666429976	0.0182018198263	0.0032493317482
a	0.866447418667	0.0532600501867	0.0125049336345	0.0237730071581	0.0440145967751
r	0.668578874289	0.218094247196	0.0378608228668	0.018673390168	0.0567926646458
ì	0.389974852876	0.491502523732	0.0816326642689	0.0133464075418	0.0235435618843
k	0.202879480992	0.560075749977	0.15085166809	0.0494363347557	0.0367567961981
a	0.117542032251	0.505713766059	0.24796416623	0.0791820412139	0.0495980122954
e	0.0621885433903	0.46023775322	0.32786216041	0.0957515724313	0.0539599810671
s	0.0290056200094	0.364239488347	0.38247513747	0.149690451344	0.074589311611
ù	0.0150869934051	0.221511129402	0.442084281823	0.252636533515	0.0686810515409
è	0.012248647533	0.104266333981	0.417859500894	0.405604113572	0.0600213893188
f	0.014264492101	0.053480447211	0.307417656165	0.536609026524	0.0882283728643
e	0.016224639655	0.0337280757343	0.214886148942	0.530503160175	0.204657976398
</S>	0.0185685096275	0.0362238424872	0.174624648431	0.471144573088	0.299438430699
