 	non	ci	dimentichiamo	mai	</S>
e	0.735423274	0.17935060859	0.00504830091803	0.00349354510299	0.0766842535072
n	0.623306312367	0.27370462195	0.00744825614136	0.00818189455266	0.0873589043205
è	0.529194858936	0.415059062317	0.00631335472445	0.00819780770567	0.0412349064342
n	0.397549839899	0.533675164439	0.0197185075975	0.00926228417307	0.0397942065768
a	0.25884092628	0.65556466148	0.0319054314858	0.014346730517	0.0393422564207
a	0.12730467542	0.711114734493	0.0833668001153	0.0180573979003	0.0601563914336
l	0.05413684752	0.654488168364	0.169858031068	0.0371241938021	0.0843927677912
l	0.0332832063667	0.547494749921	0.271303199535	0.0627807330585	0.0851381250084
i	0.0399130021156	0.373809784907	0.377127107461	0.105462459082	0.103687648334
m	0.0343396279092	0.318648379669	0.442787490007	0.112320801217	0.091903694398
o	0.0239384922151	0.261299347696	0.446714522056	0.191656197089	0.0763914306527
n	0.0288098329097	0.169355072979	0.342471393952	0.323341913563	0.136021783304
i	0.0338595572512	0.12121766984	0.235719456051	0.403204187854	0.205999123568
s	0.0264228252515	0.0809970601167	0.175140341917	0.464129868838	0.253309904856
t	0.0132619083599	0.0989695313449	0.117371529272	0.480540147166	0.289856905019
ù	0.0101038754465	0.0790657908043	0.081316117824	0.585715051055	0.243799177673
m	0.0190802405171	0.0290887763237	0.0585303501213	0.641692207352	0.251608428898
e	0.0256277828084	0.0234433952375	0.0551652386491	0.581000222784	0.314763363439
s	0.0146092190563	0.0210272791498	0.043592465185	0.579386013875	0.34138503548
t	0.00664369464248	0.0130733048165	0.0209879234417	0.607446113372	0.351848976427
a	0.00616711192919	0.0141090123218	0.0215883962666	0.579189726924	0.378945745009
m	0.0064259139492	0.0106221866191	0.0231364119135	0.528438432108	0.431377044203
à	0.0229667328946	0.0253177495898	0.0189545229365	0.523978382503	0.408782615134
i	0.0494192125137	0.0452704557306	0.0225321385788	0.438866789568	0.443911406445
</S>	0.0589091708169	0.0472605309593	0.0280427650594	0.344501067884	0.521286458222
