 	che	non	li	aspettiamo	</S>
n	0.872732641	0.0410367688	0.023619619008	0.0323405540864	0.0302704602281
a	0.634950195	0.17391767456	0.111660586849	0.0461422686669	0.0333293099608
m	0.389418126	0.265063880387	0.23074559655	0.070295628289	0.04447679808
i	0.234205077933	0.202557114709	0.396771260183	0.10921497561	0.05725158032
t	0.184132864158	0.161449220083	0.462991701661	0.143975486337	0.0474507176733
u	0.164386333333	0.108003815894	0.501034476154	0.175622944646	0.0509524117444
s	0.112663575551	0.0898714738313	0.478023530118	0.236495567482	0.0829458389148
m	0.101466680866	0.0764670622371	0.427059496373	0.254874315694	0.140132445168
ì	0.049287362962	0.0452786193724	0.448861031724	0.281549566965	0.175023428652
n	0.0737640963187	0.0366765745708	0.425973375908	0.303502290122	0.160083665891
o	0.0970898326262	0.0487225672016	0.317695153369	0.355955444507	0.180536995637
m	0.0617491505067	0.0475104138852	0.14153860759	0.498530578836	0.250671252212
e	0.0994243590156	0.0344511362571	0.0682666122567	0.451967108945	0.345890791624
</S>	0.153764698211	0.0406392377916	0.0396013031184	0.353066336472	0.412928426842
