 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a	0.839378579	0.136354696886	0.015334839969	0.00114306150935	0.00108567521987	0.00142471888909	0.00248674377043	0.000524953242396	0.000692462179219	0.00021298577771	0.000117290765171	0.000750895455401	0.000493070481248
l	0.717960428333	0.245532658959	0.022117387891	0.00176879275672	0.00331629679904	0.00319364165282	0.00263831514221	0.000572127209439	0.000744040706573	0.000230013208382	0.000123292464122	0.0007026191909	0.00110036728115
l	0.594013113444	0.361506295386	0.028204176977	0.00285211021557	0.00541248312209	0.00376557364316	0.00117430279327	0.000356519777346	0.000484243966898	0.000157417596876	0.000144346504134	0.000635198730329	0.00129420011487
ò	0.426511350261	0.514927944862	0.040392103859	0.00757458022386	0.00424916830003	0.00327393532905	0.000619443322015	0.000300937506683	0.000366752524855	0.000114918200122	0.000157595660786	0.000783167227844	0.000728089608921
r	0.3295355056	0.578603977621	0.0547851430863	0.0118467038076	0.00599008285138	0.00559425017048	0.000756614472297	0.000480200785149	0.000598260628077	0.000149639266333	0.000243764464078	0.000912982124219	0.0105028734558
a	0.234007956973	0.577250067207	0.106356284595	0.0364269272835	0.00977631328783	0.0139496125833	0.00184647682293	0.00218800170927	0.00117657111357	0.000354616370162	0.000916491703745	0.00174096430097	0.0140097377652
f	0.105527065611	0.600065846402	0.194766152932	0.0496016234878	0.0127755484783	0.0219816818187	0.00227575694824	0.00280543554162	0.00110600721294	0.000363164188727	0.00105378374405	0.00164194076622	0.00603601186829
è	0.0472166141915	0.543014084134	0.313832699377	0.0552523906959	0.0141054950352	0.0181886513562	0.00161058321407	0.00154169906271	0.000601749164979	0.000176627614264	0.000501059098793	0.000832298751038	0.00312605383123
t	0.0240285391383	0.457854857378	0.391795839326	0.087392812432	0.0138613446184	0.0162415637814	0.00176205348708	0.00113655454147	0.000789582185472	0.000175058514263	0.000314189056293	0.00167882047292	0.00296880061069
i	0.0195608890261	0.328576797553	0.392556904775	0.191549709677	0.0301142271995	0.0238777506745	0.00400797114689	0.00221795002602	0.00117147637989	0.000345125405708	0.000696725462164	0.00214147878797	0.00318301331631
p	0.0165331879347	0.208742850178	0.447220744925	0.242556853626	0.0423280053332	0.0294394420675	0.0050066307923	0.00358852982161	0.00090768281233	0.000334839071769	0.000816643163088	0.00112898223257	0.00139560559953
ò	0.0102487283082	0.157898855806	0.434851690308	0.268422707609	0.0865790909111	0.0324181325025	0.00461724976343	0.00273989581214	0.000553429865326	0.00019133287927	0.000355926952421	0.000556177249785	0.000566770115686
r	0.00642111536007	0.105486769302	0.301769730103	0.374914047203	0.120150029237	0.0742135676742	0.00815286784914	0.00453542970538	0.000801500104025	0.000212113532303	0.000215472168112	0.000872621269246	0.00225472911337
