 	lo	posso	finire	di	fare	</S>
t	0.895708362	0.08438106164	0.00196951818146	0.00262044776284	0.00637657711454	0.00894403776205
o	0.643901889067	0.28146908208	0.0361751588445	0.0185108793183	0.00925466620361	0.010688334939
s	0.305057808427	0.605662938693	0.0503316443148	0.0227182692028	0.00681689867958	0.00941244510705
ò	0.154795418814	0.781090179564	0.0424258374363	0.0106688664441	0.00333414999591	0.00768555313051
z	0.177616932005	0.702124491855	0.0742336126568	0.0119057615166	0.00911854467697	0.0250006626971
o	0.185254873208	0.549131297285	0.205921394019	0.0157146124789	0.0115641105337	0.032413712785
s	0.100363541863	0.504414373762	0.347545938673	0.0233355636196	0.00809313434923	0.0162474520957
p	0.0780582060543	0.371279813387	0.422346894224	0.0780804856065	0.0352740839477	0.0149605274652
i	0.0737105386937	0.172756672762	0.586947159408	0.110081495202	0.0426328893059	0.0138712502785
c	0.0384922762422	0.0894227692873	0.687011845536	0.129788818334	0.0330929228786	0.0221913642324
c	0.0221766993754	0.0573586989891	0.599682028845	0.153064858778	0.0923247568395	0.0753929531175
è	0.0209943920795	0.0348929264804	0.519441807615	0.235198183393	0.10456122438	0.0849114659298
t	0.0140805892846	0.0214049715441	0.531943218605	0.318056762218	0.0719635124467	0.0425509516906
s	0.0206539846072	0.0324351970767	0.460883980868	0.282448878026	0.146323944116	0.0572540264402
i	0.0341640061171	0.0525291124576	0.302777379689	0.355155027009	0.163824813905	0.0915496720934
t	0.0243032106164	0.0419873416725	0.248081206496	0.438309357336	0.141822019168	0.105496873898
s	0.0111769754215	0.0175888479705	0.195763349745	0.397004009112	0.265083099389	0.113383710079
è	0.00891842820717	0.0149848125772	0.137125570788	0.308860005704	0.363487449863	0.16662371794
k	0.006532949322	0.0239065112564	0.109019364803	0.266979196835	0.392904693421	0.200657297247
à	0.0252115538143	0.0294756021888	0.0854526796877	0.215619181812	0.43169302354	0.212547979082
m	0.0310163779263	0.0246078689901	0.0666379565586	0.121302331337	0.511151966513	0.245283507027
i	0.0344925466476	0.0213257033939	0.0551596198889	0.0784009876323	0.454431407904	0.356189724809
</S>	0.0526545858448	0.024525912307	0.0679972115645	0.0603532163962	0.332561798552	0.461907248405
