 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.904968981	0.08730719207	0.0047871571055	0.0009652074998	0.000188945026942	0.000323316100429	0.00145921275076
ò	0.872936546333	0.11842581249	0.00535590221983	0.00104969797058	0.000197247055033	0.000318363708367	0.00171643041002
p	0.803308148111	0.16777137083	0.0198782360779	0.00266782067299	0.00161745805934	0.000944048964141	0.00381290926598
u	0.559141084037	0.36069041501	0.0526754648193	0.00867837518166	0.00966084916382	0.00261595700241	0.00653785544602
o	0.274791347266	0.612309546337	0.0855899824831	0.00920271498922	0.0108868363617	0.00238221452058	0.00483734936321
G	0.117165873275	0.757818635446	0.109157268484	0.00722105433841	0.00414824660741	0.00240509301	0.00208382053283
i	0.117496977825	0.728671800482	0.120398456228	0.00816581270614	0.00325038585087	0.00275539000974	0.0192611720481
o	0.108490189382	0.649561602227	0.194008923643	0.0184530955327	0.00295570918069	0.00139526780539	0.0251352240192
v	0.0478865418607	0.623223968476	0.285220504261	0.0308599554416	0.00217134700023	0.00102116050353	0.00961654899301
à	0.0281586914069	0.507669961825	0.408087318267	0.0468691465139	0.00343567503541	0.00101858109038	0.00476064207296
n	0.0173647447156	0.399360402075	0.496287660322	0.055912478378	0.00727440417647	0.00568581109233	0.0181145082796
n	0.0287210197659	0.352294705358	0.471378750107	0.0606372665693	0.0218853645228	0.02169292783	0.043389964443
i	0.03881842395	0.219443630839	0.451281584702	0.1668589255	0.0555980409049	0.0279792464625	0.0400201401702
j	0.02176743191	0.156508397153	0.423607318901	0.2650840465	0.0700930109683	0.0323094255608	0.0306303691234
ù	0.0123851294007	0.120702124946	0.327659778567	0.3946357815	0.0866012832561	0.0327219119469	0.0252940003901
r	0.00871948274557	0.0563057172107	0.238800125789	0.5197755085	0.102139314352	0.0343383661956	0.0399214853736
i	0.0103595571292	0.0379408095702	0.165703579176	0.476939982167	0.204585762717	0.0510260667185	0.0534442387325
s	0.0109363798768	0.0215669467287	0.0792157179053	0.469386142722	0.284097276372	0.0812097005728	0.0535878334675
e	0.00642115029267	0.0115120049355	0.0429349663731	0.391402155574	0.353251087591	0.131856415458	0.0626222335325
è	0.00666806163756	0.00705710148843	0.0253128006004	0.249271509058	0.453260049197	0.190088340886	0.0683421615775
s	0.00493208576999	0.00527819216748	0.0180313082455	0.197779263553	0.398597099066	0.294087194295	0.0812948653258
s	0.0142352920245	0.00836211976149	0.017938163508	0.142193799551	0.283714962089	0.410574166098	0.122981496709
u	0.0176253388692	0.00892420600416	0.0135477613242	0.0784739024837	0.18168193343	0.451107356699	0.24863951157
</S>	0.0100078430906	0.00544445176208	0.0090515753161	0.0499513436418	0.140102152215	0.447635628349	0.337807028785
