 	non	ha	da	mangiare	</S>
e	0.6922241264	0.18959135326	0.0184984843295	0.0090623247715	0.0906237283354
n	0.432221819	0.351540992953	0.0263885544898	0.0771716289485	0.112677025525
è	0.197244739867	0.581803221518	0.0586256145766	0.0986921427742	0.0636342730913
c	0.0804269133557	0.621869683506	0.100791365376	0.125352458931	0.0715595593064
h	0.0478780472979	0.502123409502	0.207583668842	0.16273088431	0.0796839863585
i	0.0331493143085	0.329261932067	0.469105640281	0.12522120017	0.0432619167735
n	0.0164640786776	0.135638938589	0.590542604407	0.20632670319	0.0510276708818
a	0.0140021477507	0.0691686031397	0.417991810782	0.40839033813	0.0904470939579
f	0.0112932349634	0.0420146077599	0.230500613861	0.571124960043	0.145066583853
à	0.0107202290446	0.0200825286906	0.12463810404	0.700805642681	0.143753482751
i	0.0209829881519	0.0469091344035	0.063864939584	0.615381174894	0.252861738717
</S>	0.0285176855959	0.0781967754608	0.049717009918	0.447724344447	0.395844162058
