 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.841124627	0.138600819944	0.0104412414473	0.00157514281223	0.00158230666008	0.000601104065615	0.00607475856247
c	0.775464552733	0.181782653379	0.0277006366131	0.00618567841456	0.00133992519053	0.000514850957368	0.0070117136624
h	0.705982854644	0.227780906581	0.0379890458866	0.0207133581532	0.00110982502681	0.00051973645252	0.00590427458991
a	0.660016082548	0.291066036127	0.0226305818872	0.0208030857643	0.000860280601493	0.000345505124418	0.00427840494326
n	0.483946437283	0.469361744729	0.0352421583191	0.00809076417677	0.000565627699064	0.000837770579053	0.00195547293269
a	0.308807713241	0.614345131043	0.0662913453304	0.00729060953979	0.000930854773288	0.0011237992571	0.00121054870818
v	0.19893276318	0.662911109414	0.119349305463	0.0118203374941	0.0016083376231	0.00260366414387	0.00277449728439
o	0.0944660211133	0.627490147205	0.191381281888	0.025213880668	0.0026145077817	0.0135772414542	0.0452569157915
r	0.0514824373178	0.506883640868	0.253409033696	0.0812836691993	0.00954580605323	0.0261326350863	0.0712627663692
à	0.0343125694393	0.334666690223	0.382324391432	0.1703943926	0.0178542188511	0.0205607265745	0.0398870181366
s	0.0183642357798	0.221335410674	0.519159661144	0.195400732013	0.0155182707104	0.00965561670463	0.0205660905043
o	0.0199940161246	0.149983410225	0.566546067715	0.216897894884	0.0220549666635	0.0106909118307	0.0138327473254
o	0.0375224803022	0.058250107115	0.447894234305	0.325534834961	0.101169039954	0.0136529614916	0.0159763563905
t	0.0329662226234	0.0253469594517	0.275390844235	0.472209149654	0.143386167051	0.0273511784505	0.0233495061468
s	0.0140445522809	0.0136159387946	0.227457938945	0.577387707218	0.093934327417	0.0360527860768	0.0375067657923
o	0.0136775305487	0.00868759198127	0.162070290175	0.518998785073	0.196887119139	0.0521178813189	0.0475607915008
m	0.0246063570789	0.00559212692216	0.0889129011183	0.502127627691	0.25489060358	0.0715455159063	0.0523248601203
ì	0.024371790736	0.00320181750119	0.0551641825228	0.437137544164	0.332955008393	0.0977160585688	0.0494535772734
k	0.01336937795	0.00177195850553	0.0263393706309	0.276864797055	0.452111595464	0.171864592656	0.0576782765511
u	0.0181899509589	0.00250858782632	0.0224914413923	0.197218018418	0.434790517821	0.238904113885	0.0858973545437
à	0.0330644679123	0.00259716661988	0.0173666659944	0.101058690435	0.37025431254	0.395545973295	0.0801127197479
i	0.0265907131954	0.00144087776603	0.00660680771793	0.040604689085	0.229276521513	0.583012185098	0.112468204616
m	0.010943718702	0.00157430110558	0.00364633915884	0.0192193151857	0.129346077704	0.657734591033	0.177535653472
è	0.006385146029	0.00183645817946	0.00273816864268	0.0117948626099	0.083927769168	0.738379163678	0.154938431957
r	0.00849197138387	0.0015436086415	0.00212329956776	0.0068541908489	0.0571446411893	0.807252366559	0.116589938106
i	0.0290749967774	0.00261760876071	0.00639814340639	0.00610004222257	0.0430654473011	0.626481136453	0.286262648889
</S>	0.0463000400067	0.00378280403736	0.0104391456012	0.00739015410429	0.0438797960076	0.434267297626	0.453940786845
