 	ho	cosa	a	fare	</S>
è	0.59106429	0.26571020221	0.02069349208	0.087446318916	0.035085738744
c	0.3681457844	0.39346643827	0.02907656244	0.146593772261	0.0627174804189
h	0.244458382167	0.563334021957	0.02546561616	0.116121192921	0.0506208100216
o	0.129065327016	0.645025376386	0.119839657187	0.0721118632723	0.0339577945403
t	0.0881380723853	0.492233115862	0.235047440196	0.139938256451	0.0446431273688
i	0.0814974726018	0.282619278554	0.362998733065	0.19436314871	0.0785213806249
k	0.0654484011806	0.116148927145	0.418432157088	0.26049972357	0.139470809342
à	0.0728924705302	0.0516617705303	0.311502206696	0.42846335919	0.135480200981
i	0.112507329213	0.0333330201861	0.190229407345	0.427361004063	0.236569243127
</S>	0.135889534797	0.0343211564241	0.120925443942	0.335463303532	0.373400564464
