 	vuole	andare	a	Lecce	</S>
i	0.972838085	0.02002114415	0.0016339850169	0.004060215483	0.0014465584907
t	0.900348391667	0.0495333214433	0.00288310597597	0.0431280732987	0.00410707630977
è	0.809088649889	0.119179348821	0.00828836647866	0.0589616067202	0.00448200691018
l	0.710196995296	0.21478551514	0.0169140963862	0.0511420959367	0.00696129595642
i	0.440163034365	0.42634835638	0.0606692859954	0.0618647113616	0.0109546028066
n	0.180037842475	0.603999834127	0.138851825732	0.0661599888272	0.0109505035911
a	0.085704543965	0.563568808709	0.243655831911	0.0962013264824	0.010869501182
p	0.042932972275	0.416294510303	0.40092621797	0.121730806747	0.0181155043833
à	0.025164507865	0.283924917568	0.520410051323	0.148727481982	0.0217730565544
i	0.0229972049483	0.169318301389	0.394970171641	0.384268095727	0.0284462566315
L	0.0196690139181	0.070331954223	0.227073174147	0.620119001909	0.0628068848305
u	0.012777490084	0.0604593133457	0.195335772516	0.63215999837	0.0992674431635
p	0.0114999858953	0.0515871723132	0.140784722172	0.671884129857	0.124243998121
p	0.0142607498057	0.0685979423237	0.113162503124	0.646614806752	0.15736398844
ì	0.0220611613678	0.0777915292272	0.112877286508	0.565179584917	0.222090423147
u	0.0223684779206	0.0336268277557	0.0746677949827	0.524929248439	0.344407647982
n	0.0193625959162	0.0207851644336	0.0505361219676	0.477883150413	0.431432976327
a	0.0218230465621	0.0190913435895	0.0532943494425	0.370285074718	0.535506197709
</S>	0.025070849204	0.0161330585297	0.0515013241613	0.276074318229	0.631220458255
