 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.944161681	0.05229417818	0.0024431605624	0.00051810577239	6.53715647e-05	0.000192727497499	0.00032475905456
s	0.881183359667	0.112733925993	0.00358074790793	0.00074861215953	7.38545792267e-05	0.000501296374346	0.00117820022478
ì	0.818705878222	0.175933873995	0.00279841842844	0.000615591200843	6.17899412682e-05	0.00056451353751	0.00131993338765
ì	0.707287137187	0.279976217929	0.00835858309681	0.00165284104461	0.000919782377602	0.000543059154728	0.00126238331467
s	0.505448748309	0.457430610376	0.01974170038	0.00482284633934	0.00139223841445	0.00251419073544	0.00864965271238
e	0.317833575503	0.558160276125	0.0982733289677	0.0100761086649	0.00102700491493	0.00390522626538	0.0107244659624
s	0.175884886568	0.566513552708	0.218764903632	0.0207358473216	0.00163042479369	0.00838627916599	0.00808410059597
t	0.0935467715693	0.518777880303	0.308860298538	0.0441857795872	0.0144695919603	0.0111854255587	0.00897426417579
a	0.0647598732164	0.381350360101	0.441647809064	0.0777614835091	0.0213458238144	0.00716067443957	0.00597399496101
f	0.0413436435721	0.29465804306	0.516597556401	0.10449505875	0.0146460233025	0.0171485063332	0.0111111721056
a	0.0334434052327	0.212736325113	0.52810736118	0.169381713317	0.0141746578795	0.0220404139777	0.0201161207548
m	0.0242547853729	0.122822917771	0.51317773926	0.264133250439	0.0308082328318	0.0223749291606	0.0224281392365
è	0.030800146731	0.0784137194303	0.42043212292	0.39675240748	0.0374859533506	0.0206046993142	0.0155109427853
n	0.032429948219	0.0383820794101	0.321134788273	0.511928445827	0.0481995462969	0.0263577862787	0.0215674146749
a	0.015953080405	0.0234665755094	0.253195829659	0.514161561276	0.126880693766	0.0412142085796	0.0251280772183
m	0.0119411010783	0.0151147573758	0.169386291008	0.500293631759	0.217135059255	0.0563573168132	0.0297718721194
a	0.0133518671468	0.0155042568519	0.114884583892	0.472054730386	0.272534564018	0.0759813736311	0.0356886501531
i	0.0128662041296	0.014494762434	0.10455613897	0.341138275995	0.372002791206	0.122642379684	0.0322994535177
i	0.0098541096632	0.0102700811013	0.0687858847328	0.199766376825	0.460495504115	0.202597456541	0.0482305768192
l	0.00771336660907	0.0076443562431	0.0366946102186	0.126063693442	0.415638522152	0.326785377914	0.0794600685664
p	0.00594006215749	0.0111903245424	0.0153611410728	0.12206023241	0.297617286517	0.397732285705	0.150098679015
a	0.010755353475	0.0124820692137	0.0150720846079	0.116125498166	0.227383838386	0.396701982568	0.221479186365
s	0.0104139353971	0.00734650249435	0.0152276497367	0.065016635256	0.219444915075	0.451171992189	0.231378374388
t	0.00762674170824	0.00523806000911	0.00954582957773	0.0386385604957	0.202853743725	0.48343649473	0.252660581929
i	0.00855992487781	0.00483130595398	0.0122373116725	0.032191269695	0.155451476808	0.473212284377	0.31351643031
c	0.00762134150694	0.00415033751499	0.0109139857776	0.026283827931	0.118883547136	0.506991154926	0.32515580017
c	0.023744507538	0.01269842539	0.00476215660927	0.0164430361203	0.090037027792	0.484733826375	0.367581009257
i	0.0397966309096	0.0175872338175	0.0134420154641	0.0338654873424	0.061425843804	0.376085163525	0.457797614219
ò	0.0264186519768	0.00944066119517	0.0161229308979	0.0404159198858	0.054128075746	0.444458571842	0.409015182246
t	0.00909407954113	0.00384275721639	0.00580711272983	0.018877639651	0.061773606764	0.666270959281	0.234333833415
t	0.00421881928091	0.00438666912853	0.00385607973748	0.0139561631984	0.052590910152	0.738280163094	0.182711188098
o	0.00858387516904	0.00554946067858	0.00665457944463	0.0211402284889	0.039092692592	0.543762131765	0.375217026966
</S>	0.0133320974901	0.00456270211729	0.00874489371201	0.0262915593501	0.042041668708	0.380608414982	0.524418655883
