 	si	è	rotta	la	coppa	</S>
e	0.687343299	0.17714952937	0.092962957096	0.00862071274497	0.00960012894295	0.0243233780852
g	0.479529765733	0.250222748257	0.161214634232	0.022807281835	0.019851493125	0.0663740654059
l	0.265038442291	0.309692520372	0.187552772931	0.110642817705	0.042351227705	0.0847221928569
à	0.108271206297	0.299392665964	0.288906885164	0.202252953568	0.048314661115	0.0528615986198
s	0.050002264897	0.206088090228	0.387433845055	0.221357612256	0.087869994385	0.0472481753523
t	0.0386521171983	0.111381245551	0.409429241618	0.240354412352	0.109850822868	0.0903321782019
i	0.0326000135008	0.0473006217657	0.394136603339	0.341494746517	0.088720279296	0.0957477631373
e	0.0238272595976	0.0269724370226	0.26497198768	0.450154206172	0.151122730699	0.0829513852258
c	0.0179044156632	0.0148896826395	0.123415178847	0.396595639391	0.299712288233	0.147482790942
ò	0.0111975941757	0.0118397058612	0.0545108703557	0.394769345797	0.372711133344	0.154971335701
p	0.00891742365163	0.0107032982675	0.0283144459599	0.336893188826	0.516953333381	0.098218304547
p	0.0100141826036	0.00643802019729	0.0177782191346	0.178169554742	0.60583031846	0.181769704336
a	0.0525501432492	0.0140239159196	0.0422300105382	0.122628210721	0.399863350287	0.368704360185
</S>	0.0905929857946	0.021270201364	0.0641339693191	0.0944878157105	0.267797821343	0.461717197093
