 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
t	0.98598738	0.011190726143	0.0008183757138	0.00043849831749	0.000158921068597	8.2653278936e-05	0.000120543417232	0.000401796213979	0.000801123427007
ù	0.907137693333	0.087665557301	0.00289501533393	0.000633955009437	0.000214395263919	9.84919311013e-05	0.000144698072718	0.000405855848435	0.000804361442461
t	0.824856324444	0.164364278167	0.00532349629198	0.000779523018952	0.000732991134493	0.000155899986965	0.000181965770129	0.00026959742815	0.00333593181788
t	0.763411370815	0.175400394496	0.00623944649933	0.0286053219559	0.00216063025788	0.012175413626	0.00474706696693	0.00295174500577	0.00430863127091
o	0.522169339372	0.377131950565	0.0258372888264	0.039140060734	0.00456288612736	0.0172302421252	0.00699167162456	0.00505044306828	0.00188613086349
t	0.298043499957	0.576923387522	0.0724968768088	0.0214579328191	0.0105615424022	0.00730697996113	0.00382587562217	0.0041666459663	0.00521725172432
r	0.259250887119	0.597900654174	0.0793280267163	0.0244341470284	0.0116503302236	0.0125529025262	0.00434928912019	0.00416986361817	0.00636390585034
a	0.181930348572	0.608672197058	0.148602772085	0.0304495828568	0.0062374943034	0.0143758835477	0.00397452878339	0.00321628553245	0.00254090855643
v	0.0775926864367	0.507070180353	0.306579212762	0.0837334766149	0.0114603530605	0.00680013901065	0.00228408216209	0.0020177690449	0.00246208674096
ù	0.0360665290109	0.415696432384	0.423806528921	0.100801311705	0.0140536799602	0.00407243000746	0.00170734516421	0.00145497524284	0.00234075887565
d	0.0173021313983	0.349342553261	0.490182480974	0.097381942535	0.0283486302134	0.00673346137439	0.00240943009945	0.00265644861102	0.00564292088686
i	0.0115040390494	0.203328434434	0.523371631658	0.175362292912	0.0610793446045	0.00946638848146	0.00552705706922	0.00337866415131	0.00698214073219
e	0.0100245439505	0.0934421469647	0.551853741219	0.212486960637	0.0951755882682	0.0188389593945	0.00940113807374	0.00478861498303	0.00398829888671
e	0.00966178995017	0.0438117459616	0.478669637073	0.186708144812	0.206262022223	0.0321458374782	0.0158726185026	0.0165479243965	0.0103202779962
t	0.00828275209672	0.0242306940175	0.338264463824	0.201077318871	0.301454040074	0.0695293129261	0.0166455742062	0.0237860233618	0.0167298318324
o	0.00514403705024	0.0190343363301	0.222121991408	0.19634610509	0.420470912025	0.0899080221754	0.0159793980954	0.0173950523995	0.0136001640647
n	0.00359312230201	0.0158724919129	0.131591406823	0.15015586843	0.524164002675	0.127261982992	0.0200831361451	0.0126446860213	0.0146333127666
è	0.00318777928927	0.00978961005985	0.074160627341	0.112054645077	0.542797538225	0.199985034264	0.034514909715	0.0100541477884	0.0134557229982
g	0.00323794670369	0.00878016824328	0.037919520747	0.076591152559	0.516048094742	0.246546932488	0.0667960804383	0.0272927542475	0.0167873672021
r	0.00815237860523	0.0242682165408	0.0355332592443	0.0870885227197	0.356245503914	0.342706072629	0.0745279332128	0.0391315574025	0.0323465493267
a	0.0103903259587	0.0309708490353	0.0295420281674	0.0757080005999	0.236037631238	0.419053633943	0.139093667204	0.0280418237608	0.0311620231956
t	0.0052293066141	0.0154899411883	0.0133322825771	0.0335835053333	0.166049681279	0.508761107048	0.186859254135	0.0357284790869	0.0349664337119
s	0.0028819747623	0.00820546906402	0.00779894037957	0.0223433766471	0.0898343077597	0.544300967016	0.159999807312	0.0744511587956	0.090183984244
e	0.00221097186343	0.00619667958237	0.00693646540039	0.016532871365	0.0639443617199	0.368153039805	0.329303985304	0.0943807361985	0.112340874908
è	0.00157458039114	0.00418993546372	0.0091672976928	0.00771904824367	0.0642531782733	0.172496343088	0.533756101768	0.127327225466	0.079516290036
n	0.00170033988951	0.00368580286119	0.00865378975227	0.00423476823656	0.0537912678804	0.102198287049	0.526652124589	0.221173459555	0.0779101678387
a	0.00737392430364	0.016346387487	0.00689055265009	0.00805110223885	0.0339034791561	0.069633090203	0.44980204753	0.297472568385	0.110526846773
p	0.0105616393939	0.0207417460495	0.00628134914463	0.0102767623179	0.0208713047694	0.044408563401	0.34266616453	0.378265135728	0.165927327191
o	0.0059215831607	0.00954378364403	0.00557729841298	0.0067440403837	0.0147226775555	0.0339551093037	0.268428355197	0.496748911909	0.15835822563
è	0.00308104181297	0.00574415475368	0.00564229806316	0.00376966246937	0.0141368186362	0.0129530777546	0.261335902932	0.576597950636	0.116739072843
t	0.00178492751292	0.00322267717029	0.00339211500275	0.00196312976299	0.00901996552053	0.0063674419962	0.201078411457	0.667284766212	0.105886539761
a	0.00365580801424	0.0075984645225	0.00488964850728	0.00555761853886	0.011151167266	0.00491209866473	0.151116243319	0.601234408737	0.209884527867
</S>	0.00613911661712	0.0132274306313	0.00785035501364	0.00974515012943	0.017128028553	0.00423713565937	0.15475142449	0.463595759368	0.323325602733
