 	vengono	vestiti	dai	genitori	</S>
è	0.963262519	0.011241960348	0.0022091158737	0.00470613112285	0.0185802941765
r	0.842449617667	0.097731327528	0.00586651551203	0.0212044554595	0.0327480893927
k	0.638461889889	0.297257276043	0.01152729703	0.0261532689044	0.0266002409919
u	0.45823270983	0.494628817348	0.0237271746407	0.0118494711132	0.011561788328
t	0.258034770857	0.673577730449	0.0282063798136	0.0312155226291	0.00896558262833
t	0.130265259999	0.80342116215	0.0192964588179	0.0393976935173	0.00761940077074
e	0.0912776721863	0.787240310717	0.0933634163193	0.0177098358263	0.0104087314502
n	0.0433724550114	0.693607737906	0.155797640273	0.0865605036834	0.0206616451505
d	0.0544071525198	0.601624674969	0.150450803758	0.146218505434	0.0472988641556
i	0.0627411535266	0.48086792899	0.281942825453	0.105155454078	0.0692926460251
m	0.0296092505422	0.393824871863	0.365919029818	0.142635774559	0.0680110739417
è	0.0175830423007	0.309604461594	0.430499282606	0.17961138212	0.0627018313726
n	0.0264443220216	0.218624746218	0.486867871335	0.199506027973	0.0685570261429
i	0.0372144691752	0.145523918986	0.498282009178	0.220646440124	0.0983331390743
à	0.0434940783917	0.0658475906153	0.539254515126	0.234042180375	0.117361604391
t	0.0335197611466	0.0292956889318	0.475310486575	0.373237099192	0.088636954177
t	0.0185417600909	0.0162882125198	0.432153407925	0.461085666797	0.0719309671057
u	0.0136991130249	0.0140170885371	0.327046546642	0.448371588399	0.196865688369
s	0.00799389981257	0.0133992104357	0.196147300681	0.537360716266	0.24509889979
g	0.00555957682092	0.0122335992639	0.137394840427	0.664096224089	0.180715777663
e	0.0164983035594	0.0142236947268	0.0775413815023	0.624565350496	0.267171270821
n	0.0192080071129	0.0217751622637	0.0896727447188	0.589753084632	0.279591005074
i	0.0199488821754	0.0221331578456	0.0884773384756	0.586689757144	0.282750872711
t	0.0192341343826	0.0143861829148	0.0459207850499	0.621219313981	0.29923958739
ò	0.00971806344033	0.0107412403595	0.03059092179	0.686382598327	0.262567179197
r	0.00671612174661	0.0108517770391	0.020065827422	0.719379901776	0.242986367939
u	0.0154836721907	0.0158241512183	0.0255520151873	0.569419464225	0.373720696386
</S>	0.0269664903653	0.0208156740482	0.0336443517157	0.371956911562	0.546616581193
