 	dove	aveva	per	stare	non	aveva	</S>
p	0.906305183	0.072664279069	0.0032656313482	0.00186564724579	0.00080155832028	0.00476791424727	0.0103298153011
u	0.634575247667	0.322359282623	0.0145126821281	0.00489020418324	0.00289142987703	0.00580697372819	0.0149641893258
ì	0.274443847222	0.651837180874	0.0438567428427	0.00640439986908	0.00531385095414	0.00386983504068	0.0142741518409
c	0.105737051074	0.728684955625	0.0846667418809	0.0124427271044	0.00711655090045	0.031579392437	0.0297725853949
h	0.0831453873647	0.665186476542	0.13326252416	0.0268097382775	0.0108786966052	0.0492593603563	0.0314578237093
e	0.0729028867596	0.500472716847	0.314141413387	0.0614872373485	0.0113922712637	0.0272205854921	0.0123829044196
n	0.0370708204765	0.287892354816	0.499004271129	0.124399670616	0.0105243786054	0.0341798579747	0.00692866154107
a	0.0257605612866	0.150356122232	0.48589331371	0.263814715725	0.0259510540727	0.0420323522109	0.00619190969156
s	0.0158678944784	0.065831442904	0.436551607237	0.364715816475	0.0389351769442	0.060959014375	0.0171390714765
t	0.0102739971966	0.0319041994547	0.426101900412	0.352363937825	0.0432610543547	0.106123101278	0.0299718226822
a	0.00883906316993	0.0193392508802	0.352349731604	0.373845897608	0.0929539617049	0.111672619626	0.0409994925074
s	0.00581499186711	0.0158885042354	0.247140730001	0.372661354869	0.132772234835	0.149056890429	0.0766653171358
ì	0.00526583442244	0.0124316182238	0.14840659908	0.296836933623	0.248412592145	0.182166526696	0.106479920959
e	0.0113637364381	0.0297774310266	0.0708487440087	0.192914139628	0.333637022155	0.239143036232	0.122315900713
n	0.0124130351512	0.0351306284429	0.0435279226049	0.152035552567	0.213032957378	0.432922651077	0.110937256918
ì	0.00714836884952	0.016597622411	0.0220036777096	0.1178815072	0.116288070879	0.612705806692	0.107374957246
c	0.00939013865704	0.0112194580259	0.0147264514765	0.077331614038	0.10864274676	0.645020297564	0.133669294189
h	0.0147623831506	0.00662713160603	0.0130245591726	0.068519095296	0.106799867537	0.637438531188	0.152828430623
e	0.0134968737466	0.00559040537914	0.00732645798377	0.0369495504027	0.0772251189763	0.499501470929	0.359910120034
</S>	0.0099821983003	0.00700273398857	0.00519817650859	0.0269397455793	0.0528083131581	0.343990026264	0.554078797017
