 	il	vestito	della	sposa	vuole	bianco	</S>
o	0.7798157084	0.0400497927	0.154755021913	0.00718858735869	0.0119034776919	0.00405666833518	0.00223074073172
à	0.562010961693	0.107211418733	0.304591942358	0.00819282898256	0.0116191165533	0.00373010844559	0.00264364280137
b	0.325273865678	0.201034375311	0.437914971819	0.00887788011419	0.00623384625617	0.0020261232719	0.0186389562784
b	0.189583538513	0.33459295237	0.43512536204	0.00940562402473	0.00504362187312	0.0022440490903	0.0240048493854
i	0.114710738375	0.481623713257	0.373198122013	0.0154441773616	0.00349117551117	0.00210916489034	0.00942290383151
t	0.0550936157423	0.477174564046	0.422060632004	0.0301638443739	0.00472060951206	0.00610451257142	0.00468221988291
o	0.0414668992074	0.356946348975	0.484271476668	0.0946275791246	0.00669679870735	0.00947755345821	0.00651335397771
u	0.0414064453998	0.210212396305	0.405900344223	0.311080174375	0.0131980898691	0.0072229934822	0.0109795799443
k	0.0221570748439	0.0984590703817	0.411553184074	0.429821576858	0.0200370090364	0.0085337827502	0.00943831260193
o	0.0282395505706	0.0594476426939	0.367083870458	0.499801151353	0.0249294914455	0.0100242544334	0.0104740291266
r	0.0297991337902	0.0369850212913	0.266885157986	0.584714967118	0.0500312805485	0.0146055132771	0.0169789025942
a	0.0139692829674	0.0215887823171	0.197229983155	0.653966604373	0.0784786819162	0.0178890959384	0.0168775525421
s	0.00873048859913	0.0148668100504	0.087021914745	0.717904576791	0.133580508105	0.0200052015455	0.0178904924261
ì	0.00462950784838	0.0113047371221	0.043925245505	0.657415435597	0.242243727368	0.0241988460125	0.0162825023262
u	0.00364255652146	0.00515542669137	0.0167144285483	0.540800725866	0.399052267123	0.0228707511482	0.0117638663142
t	0.00232083438637	0.00304764362559	0.00754627708543	0.381070028022	0.546973942374	0.0459814382427	0.0130598513447
è	0.00148400013534	0.00211795359006	0.00391098913648	0.233706230674	0.675548792791	0.0690398658142	0.0141921637616
l	0.00129139469598	0.00276247074575	0.00262337538949	0.135556922558	0.723467645597	0.107372592005	0.0269255994539
i	0.00807815322219	0.00718330584592	0.0042406266385	0.0889767903193	0.596866313199	0.195606266202	0.0990485549646
à	0.0118934328074	0.00767537704864	0.0045123351855	0.0483675596064	0.4630560944	0.279538405134	0.184956797542
s	0.00704610683437	0.00518514851493	0.00314115113263	0.0268704567955	0.413896450133	0.380658487311	0.163202189547
p	0.00433596177602	0.00463642601736	0.00229493916234	0.0245248720052	0.293150678438	0.510953907104	0.160103208196
r	0.00334312666241	0.00423484175285	0.00286082775845	0.0277117295917	0.154681420739	0.606495048635	0.200673004599
o	0.0028710105952	0.00383236697835	0.00298645782688	0.0238062661621	0.0966710334417	0.513703383478	0.356129490866
</S>	0.0022751256526	0.00312611998317	0.00194988960804	0.0178191520133	0.0697708752139	0.389612842639	0.515446011433
