 	ho	rotto	una	bottiglia	</S>
è	0.6854856307	0.267052888503	0.027188905321	0.00277816056788	0.017494403819
g	0.482494124033	0.452979291834	0.0316783267317	0.00358541717295	0.0292628420308
l	0.319917107678	0.613023691945	0.0339148698906	0.0100783699938	0.0230659731169
a	0.177438069093	0.724311947982	0.0716936018435	0.0130537771041	0.0135025900316
s	0.117211978418	0.718689791994	0.141240190548	0.01183673352	0.0110212854165
a	0.0818784526727	0.535301470531	0.355301784983	0.0166860728933	0.0108322021035
m	0.0742245804576	0.363541135577	0.491993844328	0.0401326663178	0.0301077661652
i	0.0636105774352	0.257068049299	0.545012610776	0.0817506308393	0.0525581220484
a	0.0331079694891	0.120575898973	0.627461667925	0.164454972213	0.0543994972761
b	0.037694261855	0.0652866325243	0.587476060975	0.241761825404	0.0677812365387
u	0.0425826185659	0.0465034326581	0.520109153992	0.299979931335	0.0908248602262
t	0.0288730734122	0.0324389053827	0.409288104997	0.379285624245	0.150114283875
t	0.0206284934699	0.0224493653281	0.273064541812	0.487879526748	0.195978055825
ì	0.0149863523272	0.016649983525	0.204064434604	0.513981016916	0.250318193542
g	0.0489739750237	0.0139119715328	0.163064584075	0.549081482305	0.224967973781
l	0.124235043591	0.019053723088	0.112517210105	0.592513448102	0.151680566394
i	0.130559020337	0.0270704115017	0.111744526866	0.443183441367	0.287442593331
a	0.13968520905	0.0377926647859	0.111427985129	0.263836709656	0.447257436444
</S>	0.181476156011	0.046408621134	0.0915202276685	0.195638413628	0.484956605222
