 	hai	già	mangiato	</S>
è	0.849406933	0.09938794799	0.030877416293	0.0203277185338
c	0.714578939	0.184069913797	0.0536153026881	0.047735855558
h	0.623389407867	0.271856564066	0.0548128056027	0.0499412149254
i	0.425897262822	0.477621673755	0.0639183511009	0.0325627069351
g	0.177443637261	0.651204241918	0.123840144734	0.0475119745837
i	0.0740914912403	0.694665158639	0.177571324645	0.0536720155732
à	0.0374748589428	0.556470652746	0.351438409015	0.0546160741911
f	0.0162985839823	0.288894439782	0.619036863672	0.0757701142704
a	0.0168731711821	0.132717424794	0.723329367891	0.127080030963
m	0.0175834455654	0.0578079316287	0.72878137863	0.195827233588
è	0.0468681196915	0.0245391412109	0.737596446743	0.190996300396
n	0.0688766390492	0.0150646518316	0.704865360114	0.211193364799
a	0.0699726130034	0.0217245114652	0.509146654505	0.3991562312
</S>	0.0857608090757	0.0285612586286	0.350644742952	0.535033199
