 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.953608255	0.038409225177	0.0047035272791	0.00114875643722	0.0001547516459	0.000167070510014	0.000721353289677	0.00108704483987
ì	0.900263451	0.0912712701923	0.00520988677017	0.000886654585473	0.000303022109087	0.000190533726761	0.000684027240416	0.00119114985018
m	0.867604527667	0.110062821931	0.00775715804232	0.00270358702982	0.00200869025895	0.00169434835775	0.00213358623273	0.00603528486942
m	0.720773556222	0.188921201644	0.017241231677	0.0195573559891	0.00571786822965	0.0347752782089	0.00518010381701	0.00783341708148
e	0.417048509961	0.434645506281	0.0428381625323	0.0325084867422	0.00946531778522	0.0536190415943	0.00631166994057	0.00356331962083
r	0.275431164307	0.556991431427	0.0869540358041	0.0322043812207	0.00918139992307	0.0290413029423	0.006367300347	0.00382900468861
i	0.197153065449	0.555333973809	0.155051904115	0.0378127149336	0.0204544708024	0.0147036072195	0.0066289320448	0.0128613398901
e	0.0806498227517	0.636831881936	0.174452261105	0.0433908279445	0.0355143578288	0.0090305689923	0.00494908439326	0.0151811828038
v	0.0473868059126	0.634192828645	0.150131442173	0.0837081756148	0.0341034893916	0.00557127646717	0.0350796304976	0.00982632840803
ò	0.0401330922709	0.472583606528	0.236745020262	0.137119604872	0.0548808975459	0.00607651430106	0.0451294387639	0.00733180357168
e	0.0297332456836	0.305504466756	0.310174348087	0.184456796357	0.104850389935	0.0191957488444	0.023241689564	0.0228433084136
n	0.0235351944152	0.185605952482	0.220662318981	0.292402474166	0.114141605538	0.0322516648681	0.091717011446	0.0396837838925
è	0.0177281255197	0.0987399361573	0.127223066346	0.327831407635	0.228426106473	0.0509925489094	0.119658241769	0.0294005689282
c	0.0203132280259	0.0472285589924	0.0785390965087	0.291710507838	0.309740801358	0.0786722747698	0.124184960803	0.0496105607467
h	0.0159818296713	0.0237780369335	0.0346242956162	0.216186537126	0.425884057653	0.0850848285633	0.131314811301	0.0671455884609
o	0.00836104904113	0.0096382286965	0.0194688829787	0.106855841575	0.472176260218	0.223198253628	0.0890265349203	0.0712749394856
t	0.00661418681184	0.00586928435817	0.0148672067276	0.0589989732383	0.307307285739	0.342058928143	0.157171319173	0.107112813062
i	0.00694459463074	0.00573130117339	0.0107783354485	0.0441188842594	0.184788932633	0.388962733648	0.227777573591	0.130897663887
k	0.00640663538505	0.00538837215086	0.00956932419417	0.0341083548425	0.0785191656043	0.414805752216	0.27846797733	0.172734450962
à	0.00669017365315	0.00469322738735	0.00716552355139	0.0190917166068	0.0358641082748	0.363378882272	0.40242762271	0.160688739154
m	0.00608066715902	0.00366323337018	0.0050772822902	0.0121107777836	0.0175521566963	0.303704728344	0.514062854503	0.137748282285
i	0.00878264440897	0.00578461238779	0.00975057832647	0.0322710773812	0.0178620347281	0.194826813188	0.428053447501	0.302668789228
</S>	0.0136999745145	0.00928847652089	0.0166278831982	0.0574771002236	0.023017623801	0.137736246624	0.301861657751	0.440291028114
