 	il	lenzuolo	vuole	lavato	</S>
o	0.801161943	0.12590248101	0.0382431433997	0.0270218137745	0.00767062643929
p	0.610621763733	0.25256745327	0.0767998893199	0.0301766613195	0.0298342383122
l	0.377536056278	0.424698115223	0.133867102273	0.0190797590658	0.044818965557
a	0.196426802059	0.579680343741	0.181352781391	0.0124159641532	0.0301240973939
ù	0.10253471058	0.588903651247	0.276671353397	0.0139592615277	0.0179310114988
n	0.0472663900733	0.536464809749	0.373260016199	0.022755584261	0.0202531950131
a	0.0382722579311	0.41154155205	0.477472751133	0.0464224232267	0.0262909973977
t	0.0280615970877	0.21806859351	0.663137456378	0.0645493207742	0.0261830032326
è	0.0135693093999	0.111374249277	0.762830717459	0.0895079052234	0.0227178033309
l	0.0088185003553	0.0696719693123	0.743371682486	0.140455521114	0.0376823160283
i	0.0158569757178	0.0406404551068	0.537041574429	0.293574233211	0.112886756334
p	0.0387091053913	0.0184908399685	0.314999363743	0.432362412484	0.195438280845
l	0.0354571081418	0.0155053230511	0.260604147304	0.430022941708	0.258410480182
i	0.0166072294173	0.015760390897	0.170165043925	0.485750534036	0.311716792561
m	0.0131212694098	0.0101347592503	0.119909166402	0.537887102012	0.318947696787
è	0.0141821028517	0.0110362223881	0.109287713101	0.545785688004	0.319708277262
n	0.0413055955883	0.0142532428814	0.0543333173203	0.560383340535	0.329724494554
o	0.0524803719561	0.0149666016905	0.0409449564601	0.446426867512	0.445181179051
</S>	0.0377925512581	0.0153519121753	0.04775201979	0.341688758956	0.557414733825
