 	perché	aveva	lavorato	tutta	la	settimana	</S>
j	0.958060231	0.020341312047	0.00219895013848	0.00199058340261	0.00316387333221	0.00272668906867	0.0115183598236
a	0.888018119	0.0831388291223	0.00401823470783	0.00239538980736	0.00357585253194	0.00441600241836	0.0144375862056
t	0.676705038667	0.282248100881	0.0194400732063	0.00163929479057	0.00182732999479	0.00851159795627	0.00962857194577
ì	0.477493894822	0.479430485294	0.0261375566021	0.00104344268612	0.000851862294419	0.00995852701711	0.00508422005417
ì	0.318631042905	0.607454427765	0.0569806463074	0.00283342562824	0.00133696590694	0.0101602738362	0.00260319985833
c	0.151664298799	0.712733485255	0.112406977016	0.00519278761541	0.00181432239981	0.00952791451015	0.00666019220208
h	0.10507233702	0.697943548752	0.157115747252	0.0189633505945	0.0073944255535	0.0054326880679	0.00807786350289
e	0.0781809460913	0.511646966317	0.362204590017	0.0287242577382	0.00971739457037	0.00564005488439	0.00388577397046
p	0.0413345114384	0.307731594306	0.580766739339	0.0321956622127	0.00746534690812	0.0277070387761	0.00279910518759
o	0.0271062898628	0.188581385102	0.685380690446	0.0406696911709	0.00968359769204	0.040437681126	0.0081406681438
l	0.0155335168383	0.0967377508473	0.775258948815	0.0621170290236	0.0103581355933	0.0280955008177	0.0118991435121
e	0.0107218802534	0.0455578019558	0.758875356938	0.145045893175	0.0143203758111	0.0175643380459	0.0079143694423
m	0.0094516361438	0.0260270486253	0.696000360979	0.205768257925	0.0146632489237	0.0403749592233	0.0077144886197
ì	0.0152078943593	0.0180289142818	0.60382346166	0.284671939375	0.0231496564412	0.0473478544018	0.00777029434677
s	0.0162051769467	0.0112790489206	0.497656447887	0.410112156525	0.0356668361204	0.0189415220646	0.010138818898
o	0.0164968840805	0.0106907634115	0.352288021696	0.483280046842	0.104868154747	0.0203913987749	0.0119847324482
n	0.0165781593762	0.0106887390585	0.201423987032	0.585554402947	0.145753441316	0.0276479987916	0.0123532796774
t	0.00656226556833	0.00652077329435	0.120623633197	0.684869898316	0.130535462572	0.0250345670105	0.0258534178731
a	0.00389933654638	0.00425352736763	0.0695381286457	0.622565784105	0.231413444991	0.0397831975168	0.0285466073904
ò	0.00287894484546	0.00413501483588	0.0438087029352	0.480226707302	0.334019131264	0.111876678572	0.0230548315635
l	0.00170492477175	0.016204487038	0.0214052766451	0.405768016367	0.384438925355	0.142015245524	0.0284631316266
i	0.00584940884052	0.0234379534873	0.013008295845	0.272053194389	0.469517921785	0.161675366241	0.0544578686277
t	0.00756853681244	0.0172299743104	0.00877592905713	0.168525557996	0.508201731262	0.198679647147	0.0910186296759
i	0.00446991652108	0.0139624712872	0.00669720907151	0.124136275195	0.464395715754	0.266546257049	0.119792147325
n	0.00615947170723	0.0194952593207	0.00623011635072	0.062852162395	0.421913217918	0.32506163035	0.158288130408
a	0.00681930890394	0.0213041248482	0.00515508785679	0.0401225047717	0.352061981439	0.39354338345	0.180993602836
d	0.00584963621771	0.0164646311831	0.00400408919266	0.0208340631039	0.233084479013	0.523662694483	0.196100407512
d	0.00770044203574	0.0133950807597	0.00325731954915	0.0227114420546	0.198609153271	0.529364993428	0.224961569237
o	0.00855052718935	0.00861112523023	0.00849101049425	0.0304171994849	0.197827930957	0.452810353076	0.293291847079
m	0.00693982072645	0.0107269052873	0.0102508086272	0.034029140075	0.157064249986	0.462619249692	0.318369824893
à	0.0104548049202	0.0106574016883	0.00489085088623	0.025654963685	0.106133768662	0.549966664564	0.292241556498
d	0.0104609336831	0.00991855030663	0.00273450133248	0.0129443981737	0.061354354314	0.645068648855	0.257518632566
a	0.0154229055047	0.0184403451947	0.0124666878686	0.0112636762679	0.0596309897247	0.522245253618	0.360530156455
</S>	0.0247168997223	0.0250428617073	0.0226427550673	0.0128682977309	0.0678711926524	0.344020754809	0.502837245228
