 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.938068817	0.0454035554	0.0036054971481	0.00386830127395	0.00124038310417	0.00089088774132	0.00692253841521
t	0.892704747	0.0880656518333	0.00489839927857	0.00464105167006	0.00134372217162	0.00148126016134	0.0068651444412
e	0.637089615067	0.348957029144	0.00647178252619	0.00318506183283	0.000726036429263	0.00119272729091	0.00237774551629
k	0.318324538089	0.655276550381	0.0134736545687	0.00682182664328	0.00047644449321	0.00429466315223	0.00133233837952
a	0.16287698293	0.790220278794	0.0318548431762	0.00806148713076	0.000346528097417	0.00528521390612	0.00135468292862
m	0.07319346381	0.831154586931	0.0678473257454	0.0196857867733	0.000536298233819	0.00443720989168	0.00314532499959
m	0.0712099912767	0.74929778031	0.118615900648	0.0470735608444	0.00115202160427	0.00919567406363	0.00345506921443
è	0.0669002764082	0.58757969077	0.284453437149	0.0461020494815	0.00396202451042	0.00856439124621	0.00243813854911
n	0.0362902310467	0.53246252399	0.39490163965	0.0244023875405	0.00524168195334	0.00414266299907	0.00255886399176
i	0.0330751445502	0.405752205883	0.477434174483	0.0681911196935	0.00818502181698	0.00522609115996	0.00213622894557
s	0.0288428931081	0.216663302181	0.561209089494	0.160072030165	0.0151245314057	0.0142169588863	0.00387117652619
t	0.02085228407	0.147570793416	0.523168973031	0.268783526522	0.0179091704886	0.0168864383221	0.00482878648193
o	0.0315492845547	0.073632003574	0.434958073544	0.403726058974	0.0354534753162	0.0109459652887	0.00973511128151
g	0.0285303808682	0.068343098958	0.342858467848	0.457439956325	0.0686928403921	0.0218524643842	0.0122827771352
i	0.0176281489587	0.0601648047927	0.228953646149	0.561097019442	0.0958304761507	0.0273968801901	0.00892903167173
a	0.0161415396849	0.0260682259609	0.0900464957697	0.707310775814	0.118723659684	0.0276729889094	0.0140363322706
r	0.0110265946972	0.0178382041623	0.0555624503899	0.677276258605	0.147907698661	0.0502120357805	0.0401767618035
d	0.0174055341342	0.0168036605551	0.0514630325833	0.582098454202	0.165791974354	0.112927931727	0.0535094085212
ì	0.0187972272223	0.0098330676607	0.0301226571544	0.503798122734	0.264534403318	0.136244516816	0.0366699934044
n	0.0077842417093	0.0063127928879	0.0353414013715	0.430269450645	0.349983801106	0.134593477279	0.0357148091388
o	0.00815787377763	0.00698338233697	0.0405372019598	0.321819163168	0.377902440302	0.175506400626	0.0690935099396
s	0.0147753416293	0.0140009070627	0.0304795903246	0.238326477009	0.388159435367	0.223035718609	0.0912225261799
t	0.0183427511957	0.0160828008172	0.0248544213364	0.183182961736	0.367428537742	0.296774829203	0.0933337069933
o	0.0140433317577	0.00923050503198	0.0159687768677	0.109940137532	0.359937202234	0.337746362734	0.153133679331
c	0.0133306793054	0.00937970438876	0.015115028332	0.0731628600507	0.280055815578	0.364760560578	0.244195354977
ì	0.0164281091404	0.0100567184387	0.01325992669	0.0556821953796	0.175873943126	0.482730564193	0.245968553615
p	0.0105914829433	0.00545914149977	0.00675095082409	0.0413026570622	0.128932818102	0.624614897398	0.182348048228
o	0.00689702225111	0.00591396050279	0.00631357368878	0.0319659667101	0.0966517863273	0.565111598466	0.287146082076
</S>	0.00830033953955	0.00898236697239	0.00899974922339	0.0324530651496	0.0693369022136	0.450839381233	0.421088187438
