 	voglio	che	Maria	che	venga	domani	</S>
i	0.950308264	0.040536368415	0.0070998136	0.00025736659103	0.000159761917004	0.00102020671769	0.000618190706685
t	0.795305694	0.119396095725	0.07079795788	0.00335019841461	0.0027881269027	0.00570711800178	0.00265476750804
è	0.6470243	0.238315708775	0.095736954	0.00441750810994	0.00367240255753	0.00757212796437	0.00326095964786
l	0.556060812133	0.340732914592	0.08656249032	0.00532712761225	0.00243511987362	0.00369284945596	0.00518866405433
o	0.333761307611	0.523876776864	0.110789038033	0.0170142107553	0.00436120826811	0.00371558692395	0.00648186728291
k	0.129658274317	0.564462958088	0.213957310071	0.0751200648484	0.0083723812215	0.00414877144534	0.00428023821828
a	0.057573827079	0.471463005829	0.31985396749	0.120613602309	0.01571462297	0.00687659510791	0.0079043579504
i	0.0325707993263	0.324953951043	0.48984103263	0.10169654077	0.0277845970033	0.0142948662873	0.008858175395
M	0.0137631209954	0.141114806114	0.575715025543	0.19556870019	0.0360771399411	0.0288647410867	0.00889646929047
a	0.0175052437185	0.128004381771	0.444047855181	0.296816603663	0.0364497081737	0.0351418673842	0.0420343740222
r	0.0241457894742	0.108963946657	0.367389259554	0.310809775221	0.0499450909579	0.0393168226227	0.0994293274527
ì	0.0559815792527	0.0657260492723	0.262679243278	0.371431885074	0.107974861253	0.0458670494369	0.0903393215053
a	0.0693765161302	0.0444483062106	0.139700635779	0.359539113691	0.239965501718	0.093805444515	0.0531644636095
n	0.0329489095812	0.0220823069765	0.092675366675	0.270910707297	0.279205916486	0.247228465905	0.0549483184565
a	0.0288081029375	0.0534262704199	0.0690963355517	0.189025813766	0.285629595409	0.278833677542	0.0951802099855
r	0.0273064977824	0.0617810454791	0.0395227218712	0.119291342889	0.265931088736	0.263818578221	0.222348730795
t	0.0567006803854	0.0736625063408	0.0260624426957	0.077391756743	0.141086346139	0.29831123774	0.326785029198
i	0.0715677769925	0.0809827740476	0.0160218457152	0.062980125005	0.135310932406	0.308496183913	0.324640371333
à	0.029415381828	0.0337644049883	0.0126285434429	0.0518074405164	0.145132903862	0.491970349971	0.235280995798
v	0.0102017479176	0.0130161697192	0.0082822437008	0.0295145482916	0.0834266435707	0.737146349324	0.118412314153
v	0.00548282497296	0.0224533726563	0.00848705392827	0.0531701192825	0.0455879631802	0.701394299375	0.163424368518
r	0.0263759531608	0.0833031169164	0.0182129540214	0.0923728446842	0.0308174602134	0.451157162258	0.297760506039
i	0.0880897115021	0.0965711571758	0.0185018184969	0.0764908252291	0.0448907170911	0.264657082039	0.41079868388
</S>	0.129202021467	0.0640360895899	0.011994991783	0.0543590295861	0.0633276319955	0.19796464365	0.47911558294
