 	e	che	cucino	</S>
c	0.8443469316	0.03945490864	0.092852936392	0.0233451933962
e	0.715956394933	0.105772269453	0.113616984371	0.0646543291051
p	0.557009656178	0.212302417884	0.149276795144	0.081411131673
u	0.355429562206	0.372359501961	0.212149658848	0.0600612740737
m	0.181323477035	0.469653281987	0.281360282416	0.0676629484046
a	0.084653240295	0.365096579596	0.453123974139	0.0971262117815
r	0.046576396875	0.263517900599	0.540130148713	0.149775561614
è	0.0301591835552	0.199469110353	0.634054528904	0.136317181425
o	0.0343097482086	0.119306489998	0.657295874968	0.189087885208
</S>	0.0398807910143	0.098651312289	0.567921545484	0.293546332504
