 	mia	sorella	ancora	non	è	venuta	qui	</S>
t	0.833232832	0.14823986643	0.0027314706369	0.00082920406244	0.00124786476162	0.000913995190517	0.0010406209662	0.0117641272752
i	0.671516192	0.29896350399	0.0038980435053	0.00251694355676	0.00228295376695	0.0012414296413	0.00729105115137	0.0122898662091
n	0.524976203173	0.450203468463	0.00365745489917	0.00282695071724	0.00207668470053	0.00094993897481	0.00891746491619	0.0063918229062
a	0.401696461478	0.581734017688	0.00393373600772	0.00219668275261	0.00114899462238	0.000591320932534	0.003409376318	0.00528940296543
d	0.278279165163	0.700330552563	0.0111240117266	0.0025971487711	0.00106167918779	0.000601486967962	0.00185286675284	0.00415307595836
r	0.226686834678	0.739576639521	0.0181565465889	0.0026589808588	0.00377480132286	0.00130889911313	0.00473399938505	0.00310328333432
e	0.188060060119	0.753686292507	0.036488850663	0.00574229932627	0.00612868611055	0.00223086493324	0.00536956335898	0.00229338360555
f	0.12505516108	0.758228756836	0.0843605202877	0.0110404858671	0.00685991863578	0.00293681383713	0.00540771081659	0.00611065315523
f	0.141444854627	0.665025884945	0.111081785896	0.0319275464174	0.0232482092153	0.00485775579571	0.0134568053722	0.00895717653248
ì	0.144578064859	0.571339882982	0.139758233565	0.0790413517558	0.0389834356351	0.0070480051816	0.0135241819439	0.00572684536549
m	0.085517623319	0.483889704661	0.259843078655	0.0884908576253	0.0382852776117	0.0088173728989	0.0126597885824	0.0224962965336
m	0.109756734736	0.36200645882	0.337246302285	0.0794159466351	0.0407738541172	0.016507495165	0.0231108261001	0.0311823912693
u	0.11891759189	0.217510224627	0.425134486495	0.115946519265	0.0592739576191	0.0226612490017	0.0249287896869	0.0156271909328
a	0.055996733348	0.0927482606157	0.548885622165	0.148860016822	0.074280930273	0.0532052008606	0.0152270412685	0.0107961904439
n	0.0375936742341	0.0402111789559	0.592501829388	0.139590036741	0.0746996845577	0.0732945566402	0.0254239036455	0.0166851203482
k	0.0803318385518	0.0296081600697	0.491324287396	0.123925697847	0.124812851559	0.0616192774001	0.0549755259058	0.0334023498294
ò	0.0834814791129	0.0244176303856	0.412767854332	0.148906649682	0.153738502626	0.0966923302867	0.0496205185749	0.0303750304675
r	0.032124214031	0.0100430454559	0.492829439711	0.163438905294	0.119780603009	0.110338296616	0.0524003128206	0.0190451796782
a	0.0176007790037	0.0085436247593	0.378735102637	0.182464671031	0.211787376936	0.116971196439	0.0622197175895	0.0216775245907
e	0.0149311246812	0.0101962320831	0.165407672059	0.18349105761	0.314539744245	0.239358736946	0.0479250687432	0.0241503556902
n	0.0112877187049	0.00673607909657	0.0803984520463	0.13037166719	0.287437762282	0.354835190182	0.0960274990344	0.0329056311367
ì	0.00948237529943	0.00521449996172	0.0425863133288	0.0799706827767	0.262741203427	0.432006917394	0.138258936305	0.0297390656389
r	0.00655629218474	0.00434949511811	0.0289616985096	0.0420131580056	0.266150117316	0.408897912665	0.209860236862	0.033211073393
t	0.0170058104665	0.00701050598674	0.0272599407499	0.0283244343885	0.228721650445	0.303031827422	0.317529137621	0.0711166946843
e	0.0206588332089	0.0103016788354	0.0194122278526	0.0235992207628	0.147199613348	0.266341150941	0.344562081874	0.167925206988
e	0.012768006743	0.0151737608578	0.0102664485665	0.0162298132609	0.0816161779093	0.241933017447	0.369230367958	0.252782420596
t	0.0112880422203	0.0146165679125	0.0068943113505	0.0089583012503	0.0419493127231	0.209196681522	0.494016379986	0.213080423905
t	0.00898392692941	0.00717951927809	0.00512767917323	0.0071087980261	0.0269835058084	0.159218477014	0.604666142662	0.180731962208
ù	0.00760030641985	0.00897589592351	0.00370486653348	0.00872331848803	0.0210361709235	0.093654709018	0.587144166887	0.269160566536
</S>	0.00607189699992	0.0114642408	0.00293971224874	0.00909227148402	0.0152739049817	0.060471982829	0.558197985443	0.336488009568
