 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
e	0.795920178	0.164043365787	0.0052532079063	0.0072533400981	0.0071760368692	0.00197775436604	0.00323988390818	0.00345407578463	0.00444079300002	0.00222227593841	0.00501908470959
m	0.622056965333	0.317081571729	0.0140025498108	0.0108909259425	0.0106302951533	0.00241597649401	0.00373217740974	0.00350044247693	0.0047553100932	0.00232240440353	0.00861137269349
à	0.397486922244	0.53303070551	0.0252247923989	0.010739711864	0.0186815576293	0.00170422222556	0.00204835900855	0.00147115545475	0.00198943726921	0.000970445777214	0.00665268158249
k	0.212733068015	0.64115193317	0.0478513584396	0.0254220979291	0.0448055106498	0.00599375613101	0.00391214267528	0.0011173839411	0.000970558250034	0.00130855238229	0.0147336139515
i	0.120365512136	0.575205643057	0.147634808053	0.0573221812908	0.0626261010766	0.0103647580077	0.00620172918323	0.00085263350606	0.000713059819385	0.0013771684275	0.0173363727288
n	0.0730815125627	0.501693869686	0.255996540218	0.0881108157236	0.0554537480722	0.00995398473723	0.00528306619521	0.00054975776256	0.000575055463782	0.000801175951262	0.00850045024193
a	0.0510312735056	0.336635884829	0.345584691273	0.146202568668	0.0964614406441	0.0123847003391	0.0041969898704	0.000520541174253	0.000504640424147	0.000647233305874	0.00583001795975
e	0.0255196415305	0.14033976177	0.353587954424	0.238202669423	0.199338557815	0.0329548225464	0.00469590154213	0.00116190868215	0.000611447555802	0.000525304005942	0.00306203007096
k	0.0168449552208	0.0896027520833	0.269494461475	0.272039530341	0.241362402872	0.0852829252488	0.0161470020074	0.00199619620005	0.000976961721867	0.000665755948671	0.00558707739078
l	0.0183599686889	0.0796789795284	0.204090222425	0.263035604614	0.228624440291	0.160168252816	0.0258437614225	0.00244573634668	0.00967349234862	0.000917458501557	0.00716209907973
à	0.0157612692636	0.0443106202028	0.144934731208	0.221885245171	0.337352487164	0.190424164205	0.0255903468742	0.00235252797956	0.0123901355831	0.000774199676778	0.00422427941515
s	0.0085103572552	0.0267057927469	0.119898371603	0.15200491019	0.454649416388	0.181205583668	0.0419406583314	0.00506851208152	0.00459248431817	0.000987433850965	0.00443647798096
t	0.0505188899354	0.0216222607593	0.0885949986277	0.11532670069	0.413742704529	0.225736155223	0.0469514702838	0.0179603392805	0.00437920936439	0.00772065184437	0.00744660959419
i	0.0667222977504	0.0142517279788	0.0446747468359	0.0791807040567	0.32280911491	0.363935248408	0.0628209810946	0.0232856874025	0.00634646033086	0.00984173451086	0.0061313013146
c	0.02632996109	0.0177850906283	0.0329978311366	0.0461478947256	0.260228487103	0.435801251469	0.142817297298	0.0166329274142	0.00541914152842	0.00501039608929	0.0108297202096
e	0.0268573580929	0.0189864156505	0.0304963901269	0.0323595126685	0.176805126301	0.423170079156	0.253139060433	0.0166731058181	0.00459375072127	0.00328152869207	0.0136376676136
e	0.028800853971	0.0108652231179	0.017709018132	0.0208491683362	0.10584227828	0.381342353385	0.357472636144	0.0530220293394	0.00896602242276	0.00356480640046	0.0115656096326
t	0.0136030727451	0.00733052728157	0.008980698747	0.0106897100847	0.0757545757133	0.277694505462	0.492267742715	0.0865105905131	0.0115317297676	0.00441663929482	0.011220194808
è	0.0133002918985	0.00605723883499	0.00647985788567	0.00780552656357	0.0400002702178	0.188961096554	0.620105772905	0.0950114820377	0.0122193203092	0.0037071405237	0.0063520000127
l	0.0124862514531	0.00331890736068	0.00438273232856	0.00564230818786	0.0448251096259	0.136710488185	0.625549866968	0.143328219413	0.0137535212731	0.00418255317899	0.00582005484273
i	0.0103013935546	0.00468823450905	0.00716854815472	0.00653348931929	0.045320480178	0.096515305595	0.509850304989	0.248964565538	0.051688421501	0.00798621628333	0.0109830535603
t	0.00969655054957	0.00559434503722	0.00828569934484	0.00699869534176	0.019526225262	0.0640876167983	0.454777628996	0.339081415313	0.0692392554003	0.00954691028378	0.0131656609214
i	0.00581941692789	0.00604652142974	0.00880846989961	0.00725265316902	0.0104637817233	0.0436372280128	0.397310882065	0.379331498238	0.115229081967	0.0121275324226	0.0139729225785
a	0.010368472728	0.00830163755705	0.0106849247127	0.00903989747191	0.0100827032266	0.0227286413176	0.255906672622	0.405897846413	0.209402117989	0.0273873329942	0.0301997402968
m	0.0109142483853	0.00802723575335	0.0076775131915	0.00915447210217	0.0105425621404	0.0121270907659	0.221288575341	0.432932811671	0.197510991996	0.0450749139047	0.0447495758636
m	0.0066710898991	0.00666113905525	0.00507912616023	0.00771128281179	0.0078191379828	0.00920372634197	0.20308543848	0.39496992189	0.231930230665	0.0442273278682	0.0826415819345
è	0.0071557785277	0.00464713616688	0.00530769617874	0.00552935455526	0.0048622393896	0.00701281531399	0.11622726046	0.348418509097	0.326633323155	0.0599466566561	0.114259236125
n	0.00992862217843	0.00511313690459	0.0161302334477	0.0139462132071	0.0091226848932	0.00920608153333	0.0990650059533	0.393598704792	0.264832985185	0.081466310352	0.0975900235883
