 	sono	vestita	</S>
ì	0.864096486	0.12331870612	0.012584811996
m	0.711905148667	0.248954477553	0.0391403768093
e	0.579199193556	0.345280708984	0.0755200860938
n	0.389820810452	0.519781757661	0.0903974202246
d	0.193273596731	0.647891119887	0.158835279395
i	0.12224252781	0.615534870629	0.262222595525
m	0.07167978817	0.630104113543	0.298216101108
è	0.035472738486	0.647395315848	0.317131954236
n	0.0436422159287	0.651755451283	0.304602330545
i	0.0687241295536	0.503097662694	0.428178192248
</S>	0.0763216331668	0.339430924747	0.584247416224
