 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a	0.899806958	0.063947048288	0.005743546987	0.0050348266064	0.00570109287368	0.00320313386564	0.00423237682236	0.000812859997174	0.00632549621488	0.00519269357737
d	0.801227597333	0.154227674521	0.009846434957	0.0071453912348	0.00659886992903	0.00337225338175	0.0042727213292	0.000878548532588	0.00635481381322	0.00607570559388
r	0.703968610444	0.22309016284	0.0173023061037	0.013542056962	0.0309414843014	0.00196082002892	0.00217912831491	0.000744055014783	0.00272332488558	0.00354804355544
e	0.542491735481	0.344156412947	0.0391296923812	0.0225938753407	0.0422727470049	0.00284369715524	0.0022792458699	0.000769469830272	0.00182990761299	0.00163321882126
f	0.340430810694	0.544846104982	0.0468026647937	0.0230934749469	0.032705074401	0.00419859085755	0.00189305354509	0.00104859722378	0.00160659633082	0.00337502946615
f	0.303266628611	0.466724486994	0.0621719521312	0.059122146309	0.0924024751603	0.00497546028585	0.0017512509757	0.00268876265919	0.00213254728961	0.00476428334612
ò	0.241060242562	0.331141790998	0.167671628577	0.119962134836	0.117778786224	0.0130695371922	0.00192573940569	0.00290422115406	0.0018374606512	0.0026484634435
m	0.126957397329	0.351992324333	0.200191560792	0.113569571395	0.155756969445	0.0269487805117	0.00303123997102	0.00287705604361	0.007091240339	0.0115838568452
m	0.165199707326	0.268368871611	0.142083953484	0.139805332348	0.215944254882	0.0287140695559	0.00869053715714	0.00651886831894	0.0095083083016	0.0151661037522
u	0.150988486243	0.133374241737	0.186975265248	0.261930056616	0.173085673961	0.0601314594933	0.00969602869851	0.0132274214404	0.00446560029	0.00612578620864
e	0.0754016256023	0.0656546313457	0.241670150483	0.298766225539	0.178209577187	0.0892919428444	0.0175852762468	0.0136980430308	0.00719498642553	0.0125275515833
m	0.0487399015541	0.0694863339752	0.179797876828	0.267919367113	0.291519403062	0.0794180050148	0.0260115105783	0.00848590062227	0.00922598540398	0.0193957163963
o	0.034492427747	0.0671093436017	0.136481896276	0.224095001238	0.329333900354	0.160628722272	0.0191440995061	0.00872840871876	0.00556428006573	0.0144219202071
m	0.0307392925179	0.0558221944572	0.112831870692	0.168086647279	0.319674922785	0.232779742691	0.038607779482	0.0160203295809	0.00842607858058	0.0170111297974
a	0.032065504976	0.0484150838344	0.0558051166307	0.134309544853	0.307355575195	0.32268145143	0.0526639540273	0.020494335227	0.00958144167286	0.0166279783389
i	0.0416002653687	0.0240126624535	0.0326611863216	0.084063422931	0.225194638365	0.42755592381	0.0907982078758	0.0455924944957	0.0167573767143	0.0117638325994
g	0.0328272437636	0.0472957784568	0.0246708192279	0.039518475197	0.175314638488	0.422746414163	0.149076832225	0.0678244553919	0.0258438144181	0.0148815360598
r	0.0169451897657	0.0536027636248	0.0218331802246	0.0205836628523	0.148423497563	0.373526638748	0.175858770295	0.102862596091	0.0430475279994	0.0433161696839
a	0.0109845469391	0.0255081437205	0.0139058192409	0.0163345715574	0.0981878660677	0.369379109383	0.190711513785	0.155997819564	0.0684461631865	0.0505444480986
m	0.0072180875089	0.0170648826861	0.0082466286963	0.0118169563645	0.0535223479426	0.322311645994	0.256203046995	0.184637797855	0.103840958956	0.0351376555395
m	0.0064672372415	0.012782377812	0.0063934631501	0.0158262819042	0.0313409278009	0.209230045398	0.241523516465	0.283168010485	0.106289516292	0.0869786245332
è	0.0224183812336	0.00896901424353	0.0060207638567	0.0174549849187	0.0233083436536	0.176308251559	0.170637854822	0.382060877895	0.0821612335373	0.110660283338
n	0.0254537513406	0.00576787403055	0.00850551278883	0.00874113149957	0.0250723521892	0.15430378428	0.209619430541	0.329403710965	0.154069812912	0.0790626374927
a	0.0145297607059	0.00997491572936	0.0110186545435	0.00889510757919	0.0270775887144	0.116180710907	0.176143209874	0.298920603988	0.228492483504	0.108766970251
a	0.0162378103553	0.0277803122571	0.00815942788063	0.0178574148989	0.0193851360968	0.0706815022301	0.0786179620047	0.330708939063	0.244568770501	0.186002729284
n	0.0168804692356	0.0330595664396	0.0166272910833	0.0177074947767	0.0115737079389	0.0379082084511	0.0461468455216	0.291156769421	0.3166462519	0.212293401361
g	0.0171251626966	0.0234320005163	0.0527396623794	0.0137375459649	0.0265989231476	0.0541223661604	0.0348801820872	0.210836990594	0.303579640167	0.262947523654
r	0.0138882503531	0.015199933715	0.0525740260798	0.0115851530116	0.0298197115112	0.0550703826568	0.0202585088824	0.203526008185	0.229113478522	0.368964540418
à	0.00675120802971	0.00622838516009	0.0188708293312	0.00519022117935	0.0120524339535	0.0233767737792	0.0168600086455	0.259651414715	0.304983249774	0.346035479586
m	0.00315877085744	0.00319300163213	0.00711529544072	0.00254045074253	0.00583480665617	0.0107041668451	0.0130453588692	0.242525745958	0.501458651258	0.210423766775
m	0.00700203163468	0.0165004122061	0.00379685134448	0.00199900039826	0.00347878346306	0.00641164077197	0.0205878729691	0.202913762319	0.548498429753	0.188811228458
a	0.0101604274276	0.025067723631	0.00751625034208	0.00840297334126	0.033003043614	0.0125977843631	0.0284478051484	0.173327581933	0.355051125518	0.346425292486
</S>	0.0083786573478	0.0194963457109	0.0113752385751	0.0143321596701	0.0623723075057	0.0189422686224	0.0281465063072	0.148668609606	0.234178254159	0.454109663043
