 	non	avete	mangiato	mai	un	rustico	</S>
e	0.658206879	0.2480011667	0.009581404807	0.0036140586635	0.00539040000469	0.00320091850549	0.0720051579922
n	0.404243062533	0.4642319309	0.0335349233357	0.0054397559585	0.00724528020866	0.010224248715	0.075080772695
è	0.190552984998	0.7136565243	0.0458498521786	0.0047746686215	0.00507788664822	0.0112048686885	0.0288831854191
c	0.0770539579527	0.825580020767	0.0588899319929	0.00519905803214	0.00418511733367	0.00786408343547	0.0212278153294
h	0.0413194402476	0.817820292922	0.0989578165976	0.00875901224635	0.00390290934656	0.0108325220983	0.0184079964933
e	0.0244148154725	0.659939548374	0.271950970266	0.0186664628488	0.00873992090485	0.00896926276677	0.00731901990045
t	0.0139799804508	0.425816196191	0.468555128755	0.0377772831951	0.0135879187429	0.0297811307216	0.0105023844659
e	0.0103192320836	0.240592036064	0.608676418918	0.0741400571505	0.017306913342	0.0372525515904	0.0117128144889
f	0.0067716189612	0.106970727175	0.694837129639	0.121668393423	0.0211273285903	0.0391080064227	0.00951681005189
a	0.0166617462151	0.0589380338783	0.637279537213	0.206367031514	0.0294057633234	0.0396835629997	0.0116643272107
m	0.0212961619664	0.0348702376661	0.508802085738	0.325171336905	0.0401232387345	0.0552107451801	0.0145261817737
è	0.0131819603013	0.020338358442	0.321926459379	0.526249145368	0.0458611312448	0.060244178476	0.0121987597512
n	0.0176217383463	0.0149026678207	0.210171393526	0.599623208289	0.0742848606816	0.0674849553946	0.015911173277
a	0.0192474844814	0.0136811664096	0.145033081458	0.56083972393	0.169809889427	0.0736087896262	0.017779865303
m	0.0121940470425	0.0108168480725	0.0669941057887	0.57221507831	0.207883561609	0.104050947903	0.025845423745
à	0.0250559294461	0.00817887210617	0.0334290833829	0.472398497103	0.31379846567	0.117055569179	0.0300835896997
i	0.0301795274546	0.00756328181939	0.017837052749	0.288629503301	0.569814857223	0.0645737266043	0.0214020355712
è	0.0182840914852	0.00986434931046	0.0134601826957	0.160698044857	0.688841460408	0.0677043074681	0.0411475526171
n	0.0129493689634	0.00734045479022	0.00815922838663	0.098421687549	0.652305193869	0.159889553423	0.060934517879
a	0.00916754171913	0.00826631618707	0.0101640477008	0.0839780237163	0.547231386623	0.240994901408	0.100197791893
n	0.00640351423431	0.00888281970526	0.0106266018737	0.0738634048121	0.348220894508	0.428549601403	0.123453175964
r	0.00356144915271	0.00486070436501	0.00655370384892	0.0315949012381	0.197781317635	0.613573130468	0.142074804521
ù	0.00286115187378	0.00297051514462	0.00560393539446	0.0256022431218	0.171426355304	0.587824986156	0.20371080564
s	0.00205161291636	0.00204535834769	0.00346968638255	0.0191152540309	0.127283086895	0.654981058719	0.191053934753
t	0.00208273377528	0.00196579267598	0.00235806779608	0.00910618999891	0.0730814526547	0.746627079573	0.164778688024
i	0.00413460468922	0.00399381913293	0.00979181367256	0.0186145417411	0.0761496888236	0.576899274458	0.310416270441
k	0.0038680567041	0.00458989592124	0.0117601412284	0.0204033636755	0.0663487745055	0.545797529419	0.34723225258
o	0.0293713170445	0.0100150205778	0.0139578153263	0.0183419361674	0.0590130761522	0.502954387673	0.36634644346
</S>	0.0563486204502	0.0168767759646	0.0214794133385	0.0260424661367	0.0829561647786	0.317429607637	0.47886693858
