 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.859616768	0.04374059876	0.086504049243	0.00260952240601	0.00160803128398	0.000328189477096	0.00144176496532	0.00415105664989
è	0.834703549333	0.0594244449	0.0949537632563	0.00310142159397	0.0019791392094	0.000331693085965	0.00107891873495	0.00442705251183
l	0.792474552444	0.114338705967	0.0820317156434	0.00256902543836	0.00265058384958	0.000430408834608	0.00127967006636	0.00422532306847
o	0.506954281948	0.377897028789	0.0867444649545	0.0142728083357	0.00472656200319	0.00188317389447	0.00308093522675	0.00444074642535
k	0.205658645116	0.567839684263	0.171531317952	0.0295778919712	0.0159159236061	0.00302567011435	0.00360996358399	0.00284091001078
a	0.084842515972	0.594642542088	0.249269361251	0.0395452734851	0.0211124419978	0.00328244766977	0.00413378597872	0.00317162271354
i	0.041894611144	0.436862524029	0.450811541617	0.0432551679817	0.0142252330218	0.00373028564185	0.00629518923134	0.00292542146934
M	0.0173653361213	0.226704545343	0.628258089872	0.0790742388672	0.0295057671366	0.00833421500708	0.00748628804478	0.00327150328365
a	0.0266324857004	0.221311408914	0.539096029024	0.115198925429	0.0382414669855	0.0103562023565	0.00980633364143	0.0393571417079
r	0.0370757233201	0.165729420738	0.496671395941	0.159461597676	0.0417819474352	0.00776791121761	0.0144652444353	0.077046741968
ì	0.0665315330374	0.0916610614793	0.392542038914	0.249434838559	0.100016170678	0.0261228520252	0.0168207692217	0.0568707243119
a	0.0787465361031	0.0556723208684	0.232391660438	0.34643087352	0.150069393053	0.0579295384344	0.0499019318652	0.0288577513132
è	0.039636127641	0.0237631314568	0.166686401813	0.364966124973	0.191762340778	0.0810736269248	0.10746172565	0.0246505496015
n	0.014956163873	0.010117143529	0.133947159291	0.296576214811	0.219083744993	0.129907280042	0.174526464503	0.0208858525989
a	0.013882949557	0.00940901038773	0.0781210893123	0.205678293824	0.220493983998	0.218394543514	0.183609536968	0.0704105954596
r	0.0139620899185	0.00924546418978	0.0452257368054	0.112961038908	0.242156846999	0.262715132838	0.174025721589	0.139707963913
t	0.0268873362618	0.0538273358735	0.0319087314761	0.0591873170793	0.241941990866	0.238652211346	0.174836830816	0.172758248138
i	0.0332412893128	0.0708172805508	0.0160988669821	0.0438893617098	0.211843428302	0.238231953182	0.188563527092	0.197314300946
à	0.0142662717607	0.0274559973297	0.0107408689839	0.0325625095761	0.135426403176	0.243424332794	0.395611667697	0.140511968335
v	0.00506216792283	0.0096477347721	0.00636894018239	0.01256166602	0.059857371925	0.187759255611	0.661126045899	0.0576168463783
v	0.00311531201907	0.0198625391488	0.00871366104273	0.0171346119787	0.039547506901	0.112453731064	0.6709010555	0.128271586373
r	0.0250923846067	0.0687924456469	0.0197659288368	0.0419342928978	0.0500687215217	0.0771046091213	0.448830815567	0.268410789124
i	0.0702595359972	0.0771473614916	0.0191390907573	0.0472998144653	0.0472243705759	0.0772738779271	0.269001576142	0.392654367375
</S>	0.0939808564946	0.0513965639018	0.0117251777556	0.0378773053397	0.032896627041	0.0798328815136	0.225474917201	0.466815671688
