 	prima	di	andare	alla	scuola	</S>
p	0.958685851	0.030423533179	0.00356881973769	0.000465982714471	0.00314638953327	0.00370941319157
r	0.890847262333	0.086552275593	0.0137904737486	0.00144681587094	0.00364028516015	0.00372288443021
ì	0.659516235178	0.305424313731	0.0269126717589	0.0028297534019	0.00375187618112	0.00156516750807
m	0.360929885193	0.521401401244	0.077087428453	0.0131342062569	0.0151480386879	0.0122990525935
a	0.184352467631	0.580602687481	0.154280767751	0.023423579607	0.0393524546851	0.0179880477676
n	0.105977083844	0.585392842227	0.233679619917	0.021142694077	0.0434821932882	0.0103255619737
a	0.0811235563307	0.430719681942	0.407499501306	0.0335624142923	0.0379527645287	0.0091420857219
p	0.0652489736049	0.238688185514	0.579938057102	0.0612190973641	0.0431907376689	0.0117149673606
à	0.034625775907	0.140918654238	0.662590641701	0.0989846670547	0.0419544570563	0.0209258206842
i	0.0381567488957	0.0619913593727	0.571133301234	0.216583822152	0.0710019129654	0.0411328681521
s	0.0379415517985	0.0297233114889	0.406457528411	0.342403808251	0.135572864588	0.047900935784
t	0.0149108636904	0.0190806346508	0.27264114107	0.410419409417	0.234028896236	0.0489190448347
i	0.0189635861778	0.0151154312607	0.151638326183	0.446097596472	0.289339772352	0.0788452684782
s	0.0198359932463	0.0139476445648	0.101672214108	0.380791395157	0.371589917684	0.112162815986
k	0.011996134449	0.018330014757	0.0649379770807	0.294629975652	0.474454667428	0.135651218095
ò	0.0136000870149	0.0177332785776	0.0486694316849	0.227480835157	0.523325424676	0.169190935772
l	0.0109434832168	0.0113569177903	0.0440325265976	0.197290572592	0.583247217559	0.153129276697
a	0.0483678286687	0.0122507123315	0.0441784264552	0.154875386731	0.493483393186	0.246844244699
</S>	0.0891887161044	0.0127816281818	0.0441726287076	0.0951404603655	0.381869707593	0.376846850949
