 	non	sono	andati	</S>
e	0.7421391414	0.14432988816	0.020854537803	0.09267646217
n	0.513648429233	0.323500716653	0.0453526711343	0.117498193632
è	0.267699469224	0.607522512884	0.0544860103114	0.0702920020877
c	0.106047677531	0.693935665895	0.129859403237	0.0701572490502
h	0.051341848463	0.626276708232	0.249694000612	0.0726874295407
u	0.034477214277	0.541256391411	0.352930504871	0.0713358684869
n	0.0329565026237	0.377648180904	0.498403695224	0.0909916096623
e	0.0401510062006	0.245236775295	0.571149826008	0.143462391854
p	0.0298206515575	0.134017085005	0.615939197336	0.220223073465
a	0.0291675025278	0.0639586015577	0.655910121112	0.250963779735
m	0.0368814711453	0.0391383064526	0.664082313037	0.259897906112
è	0.0317565904229	0.0428254590015	0.643857239679	0.281560699904
n	0.044997727989	0.0515008560485	0.643426655226	0.260074754968
a	0.0541043035407	0.0636562919215	0.482734436342	0.399504973656
</S>	0.0472929783613	0.0871261964368	0.282579772071	0.583001062828
