 	non	mi	aspetti	non	vengo	</S>
m	0.34726813753	0.25532275469	0.367545913707	0.0060330414924	0.0148996259054	0.00893052566206
ì	0.254876442197	0.341793024257	0.369704173629	0.00686398804413	0.0156596250858	0.011102741293
m	0.241689083799	0.417768314903	0.285898139603	0.014696455572	0.0315297868546	0.00841822220307
e	0.177481066046	0.439933909752	0.282271255268	0.0352834605173	0.0562343622564	0.00879594552622
m	0.120543418607	0.362137801017	0.397540559823	0.0507898433471	0.0603637669283	0.00862458820741
ì	0.0522126270117	0.201632357506	0.465076184874	0.191920805424	0.0817698190781	0.00738819611827
n	0.0822671247146	0.225731681355	0.303775129625	0.269469021408	0.103659757877	0.0150972876959
i	0.0970098178775	0.205185715875	0.206887538648	0.323103569069	0.147151074232	0.0206622738686
e	0.0537057736252	0.118467562709	0.113607806089	0.453995953356	0.201967400031	0.0582554749895
n	0.0277282012616	0.0484474112303	0.119416824996	0.394527515112	0.328386778277	0.0814932429298
è	0.0203608807004	0.0270471718208	0.090754493752	0.330229256497	0.477561465026	0.0540467086233
r	0.0168017412413	0.0191015103573	0.0668832336953	0.239763834799	0.598651293275	0.0587983525878
k	0.0161730871206	0.0415632455571	0.0671804731498	0.107228841993	0.638854946425	0.128999383261
o	0.0199932978539	0.0537938180794	0.0337731923899	0.0617730605043	0.583989725475	0.246676907419
m	0.0143773273869	0.0252937494883	0.027662561688	0.0475794299814	0.556980904492	0.328106033073
e	0.0851181863915	0.0202785435059	0.0264670773573	0.0401993654205	0.458366275497	0.369570550658
</S>	0.158548097558	0.0253520700879	0.0172018354036	0.0299699220502	0.376313010748	0.392615060979
